SITE,PLOT,TREAT,SPP,DBH,CANOPY,BROWSE,UND,START_END,CLUMP,QUAD,DIV,BA_unscale,BA_ha
DALTON,32_2,2,SALIX,1,60,y,VAVI,START,CLUMP,100,d,7.85E-05,0.007853982
DALTON,32_2,2,SALIX,0.5,25,n,VAVI,,CLUMP,100,d,1.96E-05,0.001963495
DALTON,32_2,2,SALIX,0.5,70,n,VAVI,,CLUMP,100,d,1.96E-05,0.001963495
DALTON,32_2,2,SALIX,1.4,85,y,VAVI,,CLUMP,100,d,0.000153938,0.015393804
DALTON,32_2,2,SALIX,1.3,65,y,VAVI,,CLUMP,100,d,0.000132732,0.013273229
DALTON,32_2,2,SALIX,0.9,85,n,VAVI,,CLUMP,100,d,6.36E-05,0.006361725
DALTON,32_2,2,SALIX,0.5,90,y,VAVI,,CLUMP,100,d,1.96E-05,0.001963495
DALTON,32_2,2,SALIX,1,80,y,VAVI,,CLUMP,100,d,7.85E-05,0.007853982
DALTON,32_2,2,BENE,1.9,100,y,LEDE,,IND,100,d,0.000283529,0.028352874
DALTON,32_2,2,BENE,1.6,100,y,LEDE,,IND,100,d,0.000201062,0.020106193
DALTON,32_2,2,BENE,2.8,60,n,VAVI,,IND,100,d,0.000615752,0.061575216
DALTON,32_2,2,BENE,0.2,100,y,VAVI,,IND,100,d,3.14E-06,0.000314159
DALTON,32_2,2,BENE,0.6,100,n,VAVI,,IND,100,d,2.83E-05,0.002827433
DALTON,32_2,2,BENE,0.6,100,n,VAVI,,IND,100,d,2.83E-05,0.002827433
DALTON,32_2,2,BENE,1.7,90,n,VAVI,,IND,100,d,0.00022698,0.022698007
DALTON,32_2,2,BENE,1.7,100,y,VAVI,,IND,100,d,0.00022698,0.022698007
DALTON,32_2,2,BENE,0.6,100,n,VAVI,,IND,100,d,2.83E-05,0.002827433
DALTON,32_2,2,BENE,1.3,95,n,VAVI,,IND,100,d,0.000132732,0.013273229
DALTON,32_2,2,BENE,1.7,85,y,VAVI,,IND,100,d,0.00022698,0.022698007
DALTON,32_2,2,SALIX,0.7,100,y,VAVI,,IND,100,d,3.85E-05,0.003848451
DALTON,32_2,2,BENE,0.8,100,y,VAVI,,IND,100,d,5.03E-05,0.005026548
DALTON,32_2,2,BENE,1.1,100,y,VAVI,,IND,100,d,9.50E-05,0.009503318
DALTON,32_2,2,BENE,1.6,100,n,VAVI,,IND,100,d,0.000201062,0.020106193
