Month,Year,Ave,AvDailyMax,Max,AveDailyMin,Min
08/,1993,55.37,64.23,77,47.5,38
09/,1993,41.97,49.7,72,35.33,17
10/,1993,25.23,32,56,18.58,-2.999
11/,1993,4.796,11,35,-0.9332,-27.99
12/,1993,-5.72,-3.055,15,-11.49,-22.99
01/,1994,NA,NA,NA,NA,NA
02/,1994,NA,NA,NA,NA,NA
03/,1994,NA,NA,NA,NA,NA
04/,1994,46.64,54.33,56,40,37
05/,1994,50.78,59.97,72,40.26,28
06/,1994,58.43,66.6,81,49.13,44
07/,1994,65.29,74.94,86,55.26,48
08/,1994,59.93,68.94,90,51.06,32
09/,1994,38.4,45.93,62,31.37,22
10/,1994,20.3,26.48,50,15.13,0
11/,1994,-4.478,2.143,34,-9.428,-32.99
12/,1994,-11.82,-5.285,25,-16.85,-42.99
01/,1995,-4.624,-2.666,4,-6.332,-13.99
02/,1995,NA,NA,NA,NA,NA
03/,1995,NA,NA,NA,NA,NA
04/,1995,NA,NA,NA,NA,NA
05/,1995,54.97,64,70,45.67,41
06/,1995,61.13,70.47,82,51.03,42
07/,1995,62.12,70.29,84,53.61,39
08/,1995,55.87,65.19,78,47.55,32
09/,1995,48.67,56.03,79,41.4,27
10/,1995,19.6,23.9,39,16,0
11/,1995,-8.496,-1.466,34,-13.82,-28.99
12/,1995,-18.11,-11.49,5,-25.07,-38.99
01/,1996,NA,NA,NA,NA,NA
02/,1996,NA,NA,NA,NA,NA
03/,1996,NA,NA,NA,NA,NA
04/,1996,NA,NA,NA,NA,NA
05/,1996,56.97,65.42,73,45.5,38
06/,1996,59.67,69.07,81,49.47,36
07/,1996,62.61,71.52,83,53.39,44
08/,1996,50.44,59.77,69,40.68,24
09/,1996,37.98,44.83,69,31.43,23
10/,1996,9.948,17.65,44,3.806,-23.99
11/,1996,-4.799,0.8667,29,-9.632,-21.99
12/,1996,-9.746,-5.687,2,-14.62,-22.99
01/,1997,NA,NA,NA,NA,NA
02/,1997,-6.713,9,23,0.5,-17.99
03/,1997,1.105,11.16,29,-8.483,-23.99
04/,1997,30.66,40.53,62,18.27,-6.999
05/,1997,47.99,56.65,75,36.81,22
06/,1997,62.12,71.87,84,51.37,35
07/,1997,63.59,72.74,84,53.48,39
08/,1997,58.14,67.03,85,50.29,39
09/,1997,47.32,56.83,66,39.13,27
10/,1997,15.04,20.23,43,9.387,-7.999
11/,1997,6.011,12.8,46,-0.3666,-16.99
12/,1997,1.615,6.067,17,-3.532,-11.99
01/,1998,NA,NA,NA,NA,NA
02/,1998,NA,NA,NA,NA,NA
03/,1998,NA,NA,NA,NA,NA
04/,1998,NA,NA,NA,NA,NA
05/,1998,59.66,69.85,80,47.46,36
06/,1998,59.45,68.2,87,50.4,43
07/,1998,64.3,74.77,86,53.77,45
08/,1998,53.77,62.13,79,46.55,34
09/,1998,44.24,53,69,36.67,22
10/,1998,21.71,28.74,44,15.65,-3.999
11/,1998,7.579,13.75,29,0.5,-11.99
12/,1998,NA,NA,NA,NA,NA
01/,1999,NA,NA,NA,NA,NA
02/,1999,NA,NA,NA,NA,NA
03/,1999,NA,NA,NA,NA,NA
04/,1999,31.79,41.27,57,23,5
