Month,Year,Ave,AveDailyMax,Max,AveDailyMin,Min
01/,1993,-9.613,-3.289,34,-18.83,-56.99
02/,1993,-5.204,1.821,29,-12.28,-52.99
03/,1993,14.34,25.88,47,2.48,-15.99
04/,1993,33.03,42.79,56,25.07,5
05/,1993,48.09,57.65,72,36.87,28
06/,1993,61.62,73.13,87,48.73,40
07/,1993,67.19,78.03,91,56.19,45
08/,1993,54.25,64.94,76,43.71,30
09/,1993,38.85,46.63,65,31.27,8
10/,1993,24.49,29.97,47,18.87,-3.999
11/,1993,1.226,6.567,32,-5.166,-34.99
12/,1993,-1.255,2.9,16,-6.799,-21.99
01/,1994,-17.28,-11.18,11,-21.24,-39.99
02/,1994,-19.83,-6.099,12,-25.29,-35.99
03/,1994,2.766,13.35,52,-7.676,-32.99
04/,1994,27.7,37,60,15.47,-16.99
05/,1994,50.74,61.84,71,36.19,27
06/,1994,58.35,69.1,91,44.97,35
07/,1994,64.46,76.29,93,51.45,42
08/,1994,57.25,67.03,91,47.81,24
09/,1994,38.36,47.2,73,30.1,19
10/,1994,20.14,25.16,50,13.26,0
11/,1994,-6.64,-2.07,27,-13.35,-43.99
12/,1994,NA,NA,NA,NA,NA
01/,1995,NA,NA,NA,NA,NA
02/,1995,NA,NA,NA,NA,NA
03/,1995,NA,NA,NA,NA,NA
04/,1995,41.29,51,62,28.75,25
05/,1995,51.51,61.97,83,37.81,22
06/,1995,59.55,70.63,83,45.27,37
07/,1995,61.88,72.83,86,52.62,34
08/,1995,55.47,66.07,78,46.1,31
09/,1995,45.71,55.17,75,37.07,23
10/,1995,20.68,25.1,42,15.55,-11.99
11/,1995,-9.808,-3.466,30,-15.69,-31.99
12/,1995,-12.25,-7.132,14,-18.46,-47.99
01/,1996,NA,NA,NA,NA,NA
02/,1996,-6.555,0.76,40,-16.07,-37.99
03/,1996,11.07,24,41,-2.128,-23.99
04/,1996,24.63,34.4,55,12.83,-8.999
05/,1996,47.83,58.87,75,33.97,20
06/,1996,59.99,71.6,88,44.17,31
07/,1996,61.62,72.74,87,49.1,41
08/,1996,48.96,59.42,74,37.81,20
09/,1996,38.18,45,72,31.37,20
10/,1996,7.819,17.52,41,-2.064,-32.99
11/,1996,-5.897,0.6667,22,-12.26,-24.99
12/,1996,-9.317,-2.721,14,-13.99,-30.99
01/,1997,-25.5,-17.39,2,-24.09,-41.99
02/,1997,6.92,12.46,35,1,-11.99
03/,1997,2.517,15.32,32,-11.12,-24.99
04/,1997,29.58,40.77,63,15.03,-7.999
05/,1997,46.45,57.23,76,32.74,22
06/,1997,63.01,73.7,86,49.17,39
07/,1997,62.24,73.26,89,50.87,43
08/,1997,56.07,66.39,83,44.97,27
09/,1997,45.17,54.5,69,36.67,22
10/,1997,14.88,22.26,46,6.516,-13.99
11/,1997,2.352,7.367,20,-3.866,-14.99
12/,1997,3.697,1.875,11,-4.624,-30.99
01/,1998,NA,NA,NA,NA,NA
02/,1998,NA,NA,NA,NA,NA
03/,1998,NA,NA,NA,NA,NA
04/,1998,NA,NA,NA,NA,NA
05/,1998,52.42,62.64,77,40.04,28
06/,1998,58.28,68.83,87,45.83,33
07/,1998,62.8,73.35,89,52.55,43
08/,1998,51.22,59.55,81,43.13,29
09/,1998,42.12,50.57,64,34.9,18
10/,1998,21.64,28.84,38,15.19,2
11/,1998,-0.384,8   5.06,7      2,2  -5.46,6  -24.99
12/,1998,-7.564,-1.709,22,-14.25,-36.99
01/,1999,-22.5,-15.93,13,-29.7,-48.99
02/,1999,-19.07,-7.856,17,-27.74,-52.99
03/,1999,4.126,15.97,37,-6.354,-30.99
04/,1999,27.25,38.1,58,15.2,-12.99
05/,1999,46.53,56.9,72,33.52,19
06/,1999,62.13,73.47,91,48.17,31
07/,1999,62.97,73.03,91,49.39,37
08/,1999,57.06,69.52,88,45.61,27
09/,1999,42.38,54.3,74,32.1,10
10/,1999,18.81,23.39,35,13.61,-14.99
11/,1999,-3.2,2.733,17,-9.066,-28.99
12/,1999,-14.74,-8.128,20,-21.96,-48.99
01/,2000,-18.59,-8.925,32,-19.62,-50.99
02/,2000,4.598,10.71,26,-5.535,-31.99
03/,2000,11.7,21.48,43,2.774,-16.99
04/,2000,27.46,38.5,54,15.17,-7.999
05/,2000,41.81,51.42,63,30.52,20
06/,2000,62.93,75.43,87,47.23,38
07/,2000,59.47,71.61,90,47.58,32
08/,2000,50.41,60.19,80,41.13,28
09/,2000,38.26,47.3,62,30.63,19
10/,2000,20.64,26.77,38,14.03,-0.999
11/,2000,7.997,12.93,32,3.207,-19.99
12/,2000,-18.49,-17.85,-7.999,-19.13,-27.99
01/,2001,3.706,4.875,20,3.75,-3.999
02/,2001,1.678,7.087,23,-4.39,-16.99
03/,2001,2.108,6.783,23,-4.434,-22.99
04/,2001,25.97,28.73,47,15.55,-10.99
05/,2001,41.7,50.9,66,31.32,15
06/,2001,61.54,74.5,86,46.07,37
07/,2001,59.28,71.74,86,47.65,40
08/,2001,54.7,65.16,77,44.42,33
09/,2001,43.23,56.5,73,31.63,20
10/,2001,21.39,26.52,45,16.23,-8.999
11/,2001,0.1743,5.433,19,-5.199,-23.99
12/,2001,-8.75,-2.773,20,-16.02,-39.99
01/,2002,-5.301,-2.09,9,-11.22,-35.99
02/,2002,-4.286,4,26,-11.92,-31.99
03/,2002,9.381,23.06,43,-4.451,-21.99
04/,2002,23.89,34.77,51,11.67,-9.99
05/,2002,47.84,59.03,86,33.06,12
06/,2002,58.14,70.77,82,44.13,33
07/,2002,61.85,74.74,89,47.65,40
08/,2002,52.78,66.48,95,38.48,27
09/,2002,44.03,54.8,67,34.1,21
10/,2002,24.95,32.03,44,18.81,-4.999
11/,2002,14.28,18.07,30,9.5,-6.999
12/,2002,5.74,9.613,23,0.2581,-29.99
01/,2003,-12.56,-3.999,18,-19.51,-43.99
02/,2003,-4.983,3.632,22,-10.99,-30.99
03/,2003,6.826,19.42,36,-5.289,-27.99
04/,2003,30.07,41.43,67,17.57,-14.99
05/,2003,43.25,52.87,74,32,21
06/,2003,61.32,72.9,84,46.57,35
07/,2003,60.11,71.65,88,47,33
08/,2003,55.36,66.97,83,43.84,33
