"SITE","PLOT","TREAT","SPP","DBH","CANOPY","BROWSE","UND","START_END","CLUMP","QUAD"
"DALTON","32_2",2,"SAGL",1,60,"y","VAVI","START","CLUMP",1
"DALTON","32_2",2,"SAGL",0.5,25,"n","VAVI","","CLUMP",1
"DALTON","32_2",2,"SAGL",0.5,70,"n","VAVI","","CLUMP",1
"DALTON","32_2",2,"SAGL",1.4,85,"y","VAVI","","CLUMP",1
"DALTON","32_2",2,"SAGL",1.3,65,"y","VAVI","","CLUMP",1
"DALTON","32_2",2,"SAGL",0.5,0,"n","VAVI","","CLUMP",1
"DALTON","32_2",2,"SAGL",0.3,0,"y","VAVI","END","CLUMP",1
"DALTON","32_2",2,"SAGL",0.5,0,"y","VAVI","START","CLUMP",1
"DALTON","32_2",2,"SAGL",0.8,0,"y","VAVI","","CLUMP",1
"DALTON","32_2",2,"SAGL",0.6,0,"n","VAVI","","CLUMP",1
"DALTON","32_2",2,"SAGL",0.9,85,"n","VAVI","","CLUMP",1
"DALTON","32_2",2,"SAGL",0.5,0,"n","VAVI","","CLUMP",1
"DALTON","32_2",2,"SAGL",0.5,90,"y","VAVI","","CLUMP",1
"DALTON","32_2",2,"SAGL",0.5,0,"n","VAVI","","CLUMP",1
"DALTON","32_2",2,"SAGL",1,80,"y","VAVI","","CLUMP",1
"DALTON","32_2",2,"SAGL",5,0,"y","VAVI","","CLUMP",1
"DALTON","32_2",2,"SAGL",6,0,"y","VAVI","","CLUMP",1
"DALTON","32_2",2,"SAGL",0.6,0,"y","VAVI","END","CLUMP",1
"DALTON","32_2",2,"BENE",1.9,100,"y","LEDE","","IND",1
"DALTON","32_2",2,"BENE",1.6,100,"y","LEDE","","IND",1
"DALTON","32_2",2,"BENE",2.8,60,"n","VAVI","","IND",1
"DALTON","32_2",2,"BENE",0.2,100,"y","VAVI","","IND",1
"DALTON","32_2",2,"BENE",0.6,100,"n","VAVI","","IND",1
"DALTON","32_2",2,"BENE",0.6,100,"n","VAVI","","IND",1
"DALTON","32_2",2,"BENE",1.7,90,"n","VAVI","","IND",1
"DALTON","32_2",2,"BENE",1.7,100,"y","VAVI","","IND",1
"DALTON","32_2",2,"BENE",0.6,100,"n","VAVI","","IND",1
"DALTON","32_2",2,"SAGL",1.3,0,"n","VAVI","","IND",1
"DALTON","32_2",2,"BENE",1.3,95,"n","VAVI","","IND",1
"DALTON","32_2",2,"BENE",1.7,85,"y","VAVI","","IND",1
"DALTON","32_2",2,"SAGL",0.7,100,"y","VAVI","","IND",1
"DALTON","32_2",2,"BENE",0.8,100,"y","VAVI","","IND",1
"DALTON","32_2",2,"BENE",1.1,100,"y","VAVI","","IND",1
"DALTON","32_2",2,"BENE",1.6,100,"n","VAVI","","IND",1
"DALTON","32_2",2,"BENE",2.5,95,"y","VAVI","","IND",1
"DALTON","32_2",2,"BENE",6.9,90,"y","VAVI","","IND",1
"DALTON","32_2",2,"BENE",2.4,95,"y","VAVI","","IND",1
"DALTON","32_2",2,"BENE",2.7,100,"y","VAUL","","IND",1
"DALTON","32_2",2,"BENE",7.9,0,"n","VAVI","","IND",1
"DALTON","32_2",2,"BENE",3.1,95,"n","VAUL","","IND",1
"DALTON","32_2",2,"BENE",1.9,100,"y","VAVI","","IND",1
"DALTON","32_2",2,"BENE",1.2,100,"y","VAVI","","IND",1
"DALTON","32_2",2,"BENE",1.9,100,"y","VAVI","","IND",1
"DALTON","32_2",2,"SAGL",0.3,90,"y","?3 SA_2","","IND",1
"DALTON","32_2",2,"SAGL",0.6,15,"n","?3 SA_2","","IND",1
"DALTON","32_2",2,"SAGL",1.5,0,"n","?3 SA_2","","IND",1
"DALTON","32_2",2,"SAGL",1,80,"y","?3 SA_2","","IND",1
