"OL_depth$SITE","OL_depth$TREATMENT","OL_depth$SITE.CODE","AV"
"DALTON",0,"10_0_TLS",20
"DALTON",0,"10_0_TLS",20
"DALTON",0,"10_0_TLS",20
"DALTON",0,"10_0_TLS",20
"DALTON",0,"10_0_TLS",20
"DALTON",0,"10_0_TLS",20
"DALTON",0,"10_0_TLS",20
"DALTON",0,"10_0_TLS",20
"DALTON",0,"10_0_TLS",20
"DALTON",0,"10_0_TLS",20
"DALTON",0,"10_0_TLS",20
"DALTON",0,"10_0_TLS",20
"DALTON",0,"10_0_TLS",20
"DALTON",0,"10_0_TLS",20
"DALTON",0,"11_0",17.6
"DALTON",0,"11_0",17.6
"DALTON",0,"11_0",17.6
"DALTON",0,"11_0",17.6
"DALTON",0,"11_0",17.6
"DALTON",0,"11_0",17.6
"DALTON",0,"11_0",17.6
"DALTON",0,"11_0",17.6
"DALTON",0,"11_0",17.6
"DALTON",0,"11_0",17.6
"DALTON",0,"11_0",17.6
"DALTON",0,"11_0",17.6
"DALTON",0,"11_0",17.6
"DALTON",0,"11_0",17.6
"DALTON",0,"44_0",18.8
"DALTON",0,"44_0",18.8
"DALTON",0,"44_0",18.8
"DALTON",0,"44_0",18.8
"DALTON",0,"44_0",18.8
"DALTON",0,"44_0",18.8
"DALTON",0,"44_0",18.8
"DALTON",0,"44_0",18.8
"DALTON",0,"44_0",18.8
"DALTON",0,"44_0",18.8
"DALTON",0,"44_0",18.8
"DALTON",0,"44_0",18.8
"DALTON",0,"44_0",18.8
"DALTON",0,"44_0",18.8
"DALTON",0,"58_0",17
"DALTON",0,"58_0",17
"DALTON",0,"58_0",17
"DALTON",0,"58_0",17
"DALTON",0,"58_0",17
"DALTON",0,"58_0",17
"DALTON",0,"58_0",17
"DALTON",0,"58_0",17
"DALTON",0,"58_0",17
"DALTON",0,"58_0",17
"DALTON",0,"58_0",17
"DALTON",0,"58_0",17
"DALTON",0,"58_0",17
"DALTON",0,"58_0",17
"DALTON",1,"12_1_TLS",4.5
"DALTON",1,"12_1_TLS",4.5
"DALTON",1,"12_1_TLS",4.5
"DALTON",1,"12_1_TLS",4.5
"DALTON",1,"12_1_TLS",4.5
"DALTON",1,"12_1_TLS",4.5
"DALTON",1,"12_1_TLS",4.5
"DALTON",1,"12_1_TLS",4.5
"DALTON",1,"12_1_TLS",4.5
"DALTON",1,"12_1_TLS",4.5
"DALTON",1,"12_1_TLS",4.5
"DALTON",1,"12_1_TLS",4.5
"DALTON",1,"12_1_TLS",4.5
"DALTON",1,"12_1_TLS",4.5
"DALTON",1,"41_1",8.2
"DALTON",1,"41_1",8.2
"DALTON",1,"41_1",8.2
"DALTON",1,"41_1",8.2
"DALTON",1,"41_1",8.2
"DALTON",1,"41_1",8.2
"DALTON",1,"41_1",8.2
"DALTON",1,"41_1",8.2
"DALTON",1,"41_1",8.2
"DALTON",1,"41_1",8.2
"DALTON",1,"41_1",8.2
"DALTON",1,"41_1",8.2
"DALTON",1,"41_1",8.2
"DALTON",1,"41_1",8.2
"DALTON",1,"42_1",11.4
"DALTON",1,"42_1",11.4
"DALTON",1,"42_1",11.4
"DALTON",1,"42_1",11.4
"DALTON",1,"42_1",11.4
"DALTON",1,"42_1",11.4
"DALTON",1,"42_1",11.4
"DALTON",1,"42_1",11.4
"DALTON",1,"42_1",11.4
"DALTON",1,"42_1",11.4
"DALTON",1,"42_1",11.4
"DALTON",1,"42_1",11.4
"DALTON",1,"42_1",11.4
"DALTON",1,"42_1",11.4
"DALTON",1,"48_1",2.8
"DALTON",1,"48_1",2.8
"DALTON",1,"48_1",2.8
"DALTON",1,"48_1",2.8
"DALTON",1,"48_1",2.8
"DALTON",1,"48_1",2.8
"DALTON",1,"48_1",2.8
"DALTON",1,"48_1",2.8
"DALTON",1,"48_1",2.8
"DALTON",1,"48_1",2.8
"DALTON",1,"48_1",2.8
"DALTON",1,"48_1",2.8
"DALTON",1,"48_1",2.8
"DALTON",1,"48_1",2.8
"DALTON",1,"50_TLS_1",4
"DALTON",1,"50_TLS_1",4
"DALTON",1,"50_TLS_1",4
"DALTON",1,"50_TLS_1",4
"DALTON",1,"50_TLS_1",4
"DALTON",1,"50_TLS_1",4
"DALTON",1,"50_TLS_1",4
"DALTON",1,"50_TLS_1",4
"DALTON",1,"50_TLS_1",4
"DALTON",1,"50_TLS_1",4
"DALTON",1,"50_TLS_1",4
"DALTON",1,"50_TLS_1",4
"DALTON",1,"50_TLS_1",4
"DALTON",1,"50_TLS_1",4
"DALTON",1,"52_1",6.8
"DALTON",1,"52_1",6.8
"DALTON",1,"52_1",6.8
"DALTON",1,"52_1",6.8
"DALTON",1,"52_1",6.8
"DALTON",1,"52_1",6.8
"DALTON",1,"52_1",6.8
"DALTON",1,"52_1",6.8
"DALTON",1,"52_1",6.8
"DALTON",1,"52_1",6.8
"DALTON",1,"52_1",6.8
"DALTON",1,"52_1",6.8
