"SITE","PLOT","TREAT","SPP","DBH","CANOPY","BROWSE","UND","START_END","CLUMP","QUAD"
"STEESE","34_2",2,"SAGL",0.3,100,"Y","EQAR","START","CLUMP",1
"STEESE","34_2",2,"SAGL",0.3,100,"N","EQAR","","CLUMP",1
"STEESE","34_2",2,"SAGL",1.1,100,"Y","EQAR","","CLUMP",1
"STEESE","34_2",2,"SAGL",0.4,100,"Y","EQAR","END","CLUMP",1
"STEESE","34_2",2,"SAGL",0.2,100,"N","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.9,100,"Y","EQAR","","IND",1
"STEESE","34_2",2,"SAGL",0.6,95,"Y","CHAN","","IND",1
"STEESE","34_2",2,"SAGL",0.3,100,"Y","EQAR","","IND",1
"STEESE","34_2",2,"SAGL",0.5,95,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SA_7",0.5,95,"Y","CHAN","","IND",1
"STEESE","34_2",2,"SA_5",0.2,100,"N","EQAR","","IND",1
"STEESE","34_2",2,"SA_7",0.5,100,"Y","MOSS","","IND",1
"STEESE","34_2",2,"SAGL",0.2,90,"N","EQAR","","IND",1
"STEESE","34_2",2,"SAGL",0.5,70,"Y","EQAR","","IND",1
"STEESE","34_2",2,"SAGL",0.4,50,"Y","MOSS","","IND",1
"STEESE","34_2",2,"SAGL",0.5,20,"Y","CHAN","START","CLUMP",1
"STEESE","34_2",2,"SAGL",0.4,20,"Y","CHAN","END","CLUMP",1
"STEESE","34_2",2,"SAGL",0.5,100,"N","EQAR","","IND",1
"STEESE","34_2",2,"SAGL",0.8,95,"N","EQAR","","IND",1
"STEESE","34_2",2,"SAGL",0.3,100,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SADE",0.2,95,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.7,40,"Y","MOSS","","IND",1
"STEESE","34_2",2,"SAGL",0.4,95,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.4,95,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.8,95,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.4,100,"Y","EQAR","","IND",1
"STEESE","34_2",2,"SAGL",0.3,95,"Y","EQAR","","IND",1
"STEESE","34_2",2,"SAGL",0.3,100,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.9,95,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.5,80,"N","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.6,80,"N","MOSS","","IND",1
"STEESE","34_2",2,"SAGL",0.3,100,"N","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.3,100,"Y","MOSS","","IND",1
"STEESE","34_2",2,"SAGL",0.5,95,"Y","EQAR","","IND",1
"STEESE","34_2",2,"SAGL",1.1,95,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SA_7",0.7,100,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.2,5,"N","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.3,95,"N","LITTER","","IND",1
"STEESE","34_2",2,"SA_7",0.5,95,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SADE",0.5,95,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.7,100,"Y","EQAR","","IND",1
"STEESE","34_2",2,"SAGL",1.1,90,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.9,95,"Y","MOSS","","IND",1
"STEESE","34_2",2,"SAGL",0.5,90,"Y","EQAR","","IND",1
"STEESE","34_2",2,"SA_7",0.5,95,"Y","CHAN","","IND",1
"STEESE","34_2",2,"SA_7",0.4,95,"N","LITTER","","IND",1
"STEESE","34_2",2,"BENE",0.3,95,"N","MOSS","","IND",1
"STEESE","34_2",2,"SAGL",0.3,95,"N","LITTER","","IND",1
"STEESE","34_2",2,"BENE",0.3,90,"N","CHAN","","IND",1
"STEESE","34_2",2,"SAGL",0.5,40,"N","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.4,100,"N","GRASS","START","CLUMP",1
"STEESE","34_2",2,"SAGL",0.2,95,"N","GRASS","","CLUMP",1
"STEESE","34_2",2,"SAGL",0.3,100,"N","GRASS","END","CLUMP",1
"STEESE","34_2",2,"BENE",0.5,95,"N","VAVI","","IND",1
"STEESE","34_2",2,"SA_7",0.1,0,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.6,95,"N","MOSS","","IND",1
"STEESE","34_2",2,"SAGL",0.5,100,"Y","MOSS","","IND",1
"STEESE","34_2",2,"SAGL",0.4,100,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SA_6",0.3,95,"Y","MOSS","","IND",1
"STEESE","34_2",2,"SAGL",0.5,80,"N","LICHEN","","IND",1
"STEESE","34_2",2,"SAGL",0.5,80,"Y","LITTER","","IND",1
"STEESE","34_2",2,"PIME",2.1,0,"N","VAVI","","IND",1
"STEESE","34_2",2,"SAGL",0.3,95,"N","MOSS","","IND",1
"STEESE","34_2",2,"SAGL",0.5,95,"N","MOSS","","IND",1
"STEESE","34_2",2,"PIME",1.2,0,"N","VAVI","","IND",1
"STEESE","34_2",2,"PIME",2.3,0,"N","VAVI","","IND",1
"STEESE","34_2",2,"SAGL",0.5,90,"Y","EQAR","","IND",1
"STEESE","34_2",2,"BENE",0.4,90,"N","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.9,90,"N","EQAR","START","CLUMP",1
"STEESE","34_2",2,"SAGL",0.3,10,"Y","EQAR","","CLUMP",1
"STEESE","34_2",2,"SAGL",0.6,95,"Y","EQAR","END","CLUMP",1
