"SITE","SITENUM","TREAT","DEPTH"
"STEESE","33_1",1,12
"STEESE","33_1",1,6
"STEESE","33_1",1,7
"STEESE","33_1",1,10
"STEESE","33_1",1,6
"STEESE","33_1",1,5
"STEESE","33_1",1,8
"STEESE","33_1",1,12
"STEESE","33_1",1,5
"STEESE","33_1",1,7
"STEESE","33_1",1,5
"STEESE","18_1",1,4
"STEESE","18_1",1,4
"STEESE","18_1",1,5
"STEESE","18_1",1,6
"STEESE","18_1",1,6
"STEESE","18_1",1,3
"STEESE","18_1",1,5
"STEESE","18_1",1,7
"STEESE","18_1",1,5
"STEESE","18_1",1,4
"STEESE","18_1",1,4
"STEESE","18_1",1,3
"STEESE","18_1",1,5
"STEESE","18_1",1,7
"STEESE","18_1",1,6
"STEESE","18_1",1,4
"STEESE","18_1",1,4
"STEESE","29_1",1,6
"STEESE","29_1",1,7
"STEESE","29_1",1,6
"STEESE","29_1",1,5
"STEESE","29_1",1,5
"STEESE","29_1",1,7
"STEESE","29_1",1,5
"STEESE","29_1",1,6
"STEESE","29_1",1,6
"STEESE","29_1",1,5
"STEESE","29_1",1,4
"STEESE","29_1",1,7
"STEESE","29_1",1,6
"STEESE","36_1",1,5
"STEESE","36_1",1,6
"STEESE","36_1",1,4
"STEESE","36_1",1,6
"STEESE","36_1",1,6
"STEESE","36_1",1,6
"STEESE","36_1",1,5
"STEESE","36_1",1,4
"STEESE","36_1",1,5
"STEESE","36_1",1,5
"STEESE","36_1",1,6
"STEESE","36_1",1,4
"STEESE","36_1",1,6
"STEESE","36_1",1,4
"STEESE","36_1",1,4
"STEESE","36_1",1,6
"STEESE","36_1",1,4
"STEESE","36_1",1,5
"STEESE","36_1",1,4
"STEESE","20_1",1,13
"STEESE","20_2",1,10
"STEESE","20_3",1,8
"STEESE","20_4",1,8
"STEESE","20_5",1,11
"STEESE","20_6",1,11
"STEESE","20_7",1,9
"STEESE","20_8",1,10
"STEESE","20_9",1,10
"STEESE","20_10",1,9
"STEESE","20_11",1,9
"STEESE","20_12",1,12
"STEESE","20_13",1,10
"STEESE","20_14",1,13
"STEESE","20_15",1,7
"STEESE","20_16",1,11
"STEESE","20_17",1,12
"STEESE","20_18",1,9
"STEESE","20_19",1,10
"STEESE","20_20",1,11
"STEESE","20_21",1,6
"STEESE","27_2",2,3
"STEESE","27_2",2,4
"STEESE","27_2",2,4
"STEESE","27_2",2,6
"STEESE","27_2",2,3
"STEESE","27_2",2,4
"STEESE","27_2",2,5
"STEESE","27_2",2,4
"STEESE","27_2",2,4
"STEESE","27_2",2,4
"STEESE","27_2",2,6
"STEESE","27_2",2,4
"STEESE","27_2",2,3
"STEESE","27_2",2,4
"STEESE","27_2",2,5
"STEESE","27_2",2,4
"STEESE","27_2",2,7
"STEESE","27_2",2,6
"STEESE","27_2",2,6
"STEESE","27_2",2,4
"STEESE","27_2",2,5
"STEESE","27_2",2,4
"STEESE","27_2",2,6
"STEESE","27_2",2,10
"STEESE","27_2",2,10
"STEESE","27_2",2,9
"STEESE","27_2",2,5
"STEESE","27_2",2,4
"STEESE","27_2",2,4
"STEESE","27_2",2,3
"STEESE","27_2",2,5
"STEESE","27_2",2,5
"STEESE","27_2",2,5
"STEESE","27_2",2,7
"STEESE","27_2",2,6
"STEESE","4_2",2,5
"STEESE","4_2",2,4
"STEESE","4_2",2,6
"STEESE","4_2",2,5
"STEESE","4_2",2,4
"STEESE","4_2",2,4
"STEESE","4_2",2,6
"STEESE","4_2",2,6
"STEESE","4_2",2,5
"STEESE","4_2",2,9
"STEESE","4_2",2,4
"STEESE","4_2",2,11
"STEESE","4_2",2,6
"STEESE","4_2",2,5
"STEESE","4_2",2,5
"STEESE","4_2",2,5
"STEESE","4_2",2,4
"STEESE","4_2",2,10
"STEESE","4_2",2,7
"STEESE","4_2",2,5
"STEESE","4_2",2,8
"STEESE","4_2",2,7
"STEESE","4_2",2,5
"STEESE","4_2",2,4
"STEESE","4_2",2,5
"STEESE","4_2",2,6
"STEESE","4_2",2,5
"STEESE","4_2",2,4
"STEESE","4_2",2,5
"STEESE","4_2",2,4
"STEESE","4_2",2,4
"STEESE","4_2",2,5
"STEESE","3_2",2,5
"STEESE","3_2",2,6
"STEESE","3_2",2,8
"STEESE","3_2",2,4
"STEESE","3_2",2,5
"STEESE","3_2",2,6
"STEESE","3_2",2,5
"STEESE","3_2",2,6
"STEESE","3_2",2,5
"STEESE","3_2",2,5
"STEESE","3_2",2,4
"STEESE","3_2",2,5
"STEESE","3_2",2,6
"STEESE","3_2",2,7
"STEESE","3_2",2,5
"STEESE","3_2",2,4
"STEESE","3_2",2,4
"STEESE","3_2",2,5
"STEESE","3_2",2,4
"STEESE","3_2",2,6
"STEESE","3_2",2,5
"STEESE","3_2",2,4
"STEESE","3_2",2,4
"STEESE","3_2",2,4
"STEESE","3_2",2,4
"STEESE","3_2",2,2
