"SITE","PLOT","TREAT","SPP","DBH","CANOPY","BROWSE","UND","START_END","CLUMP","QUAD","DIV","EXP_FACT"
"DALTON","32_2",2,"SALIX",1,60,"y","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.5,25,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.5,70,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",1.4,85,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",1.3,65,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.5,0,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.3,0,"y","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.5,0,"y","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.8,0,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.6,0,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.9,85,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.5,0,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.5,90,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.5,0,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",1,80,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",5,0,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",6,0,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.6,0,"y","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.9,100,"y","LEDE","","IND",1,"d",100
"DALTON","32_2",2,"BENE",1.6,100,"y","LEDE","","IND",1,"d",100
"DALTON","32_2",2,"BENE",2.8,60,"n","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",0.2,100,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",0.6,100,"n","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",0.6,100,"n","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",1.7,90,"n","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",1.7,100,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",0.6,100,"n","VAVI","","IND",1,"d",100
