"SITE","SITECODE","SITENUM","TREAT","SPP","DBH_AV","CAN_AV","BROW_INDEX","UND","CLUMP","STEM_COUNT","QUAD"
"DALTON","32_2",32,2,"SALIX",4.7,61,0.6,"VAVI","CLUMP",5,2
"DALTON","32_2",32,2,"SALIX",2.4,85,0.67,"VAVI","CLUMP",3,2
"DALTON","32_2",32,2,"BENE",1.9,100,1,"LEDE","IND",1,2
"DALTON","32_2",32,2,"BENE",1.6,100,1,"LEDE","IND",1,2
"DALTON","32_2",32,2,"BENE",2.8,60,0,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",0.2,100,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",0.6,100,0,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",0.6,100,0,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",1.7,90,0,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",1.7,100,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",0.6,100,0,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",1.3,95,0,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",1.7,85,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"SALIX",0.7,100,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",0.8,100,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",1.1,100,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",1.6,100,0,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",2.5,95,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",6.9,90,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",2.4,95,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",2.7,100,1,"VAUL","IND",1,2
"DALTON","32_2",32,2,"BENE",3.1,95,0,"VAUL","IND",1,2
"DALTON","32_2",32,2,"BENE",1.9,100,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",1.2,100,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",1.9,100,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"SALIX",0.3,90,1,"?3 SA_2","IND",1,2
"DALTON","32_2",32,2,"SALIX",0.6,15,0,"?3 SA_2","IND",1,2
"DALTON","32_2",32,2,"SALIX",1,80,1,"?3 SA_2","IND",1,2
