"SITECODE","TYPE","SPP","COUNT","BASAL","SITE","DIVISON"
"1_0","SAPLING","ALCR",0,0,"STEESE","d"
"1_0","SAPLING","ARCT",0,0,"STEESE","d"
"1_0","SAPLING","BENE",0,0,"STEESE","d"
"1_0","SAPLING","PIME",60,0.781914829816406,"STEESE","c"
"1_0","SAPLING","POBA",0,0,"STEESE","d"
"1_0","SAPLING","POTR",0,0,"STEESE","d"
"1_0","SAPLING","SALIX",0,0,"STEESE","d"
"1_0","TREE","ALCR",0,0,"STEESE","d"
"1_0","TREE","ARCT",0,0,"STEESE","d"
"1_0","TREE","BENE",0,0,"STEESE","d"
"1_0","TREE","PIME",93,10.2302155778344,"STEESE","c"
"1_0","TREE","POBA",0,0,"STEESE","d"
"1_0","TREE","POTR",0,0,"STEESE","d"
"1_0","TREE","SALIX",1,0.039722854021875,"STEESE","d"
"17_3","SAPLING","ALCR",0,0,"STEESE","d"
"17_3","SAPLING","ARCT",2,0.00632664,"STEESE","d"
"17_3","SAPLING","BENE",2,0.0035451,"STEESE","d"
"17_3","SAPLING","PIME",1,0.00659934,"STEESE","c"
"17_3","SAPLING","POBA",0,0,"STEESE","d"
"17_3","SAPLING","POTR",105,1.70742924,"STEESE","d"
"17_3","SAPLING","SALIX",72,0.9214533,"STEESE","d"
"17_3","TREE","ALCR",0,0,"STEESE","d"
"17_3","TREE","ARCT",0,0,"STEESE","d"
"17_3","TREE","BENE",0,0,"STEESE","d"
"17_3","TREE","PIME",0,0,"STEESE","c"
"17_3","TREE","POBA",0,0,"STEESE","d"
"17_3","TREE","POTR",8,0.9675396,"STEESE","d"
"17_3","TREE","SALIX",5,0.7785585,"STEESE","d"
"18_1","SAPLING","ALCR",0,0,"STEESE","d"
"18_1","SAPLING","ARCT",0,0,"STEESE","d"
"18_1","SAPLING","BENE",50,0.2176146,"STEESE","d"
"18_1","SAPLING","PIME",0,0,"STEESE","c"
"18_1","SAPLING","POBA",0,0,"STEESE","d"
"18_1","SAPLING","POTR",0,0,"STEESE","d"
"18_1","SAPLING","SALIX",4,0.00196344,"STEESE","d"
"18_1","TREE","ALCR",0,0,"STEESE","d"
"18_1","TREE","ARCT",0,0,"STEESE","d"
"18_1","TREE","BENE",0,0,"STEESE","d"
"18_1","TREE","PIME",0,0,"STEESE","c"
"18_1","TREE","POBA",0,0,"STEESE","d"
"18_1","TREE","POTR",0,0,"STEESE","d"
"18_1","TREE","SALIX",0,0,"STEESE","d"
"19_2","SAPLING","ALCR",0,0,"STEESE","d"
"19_2","SAPLING","ARCT",0,0,"STEESE","d"
"19_2","SAPLING","BENE",0,0,"STEESE","d"
"19_2","SAPLING","PIME",0,0,"STEESE","c"
"19_2","SAPLING","POBA",0,0,"STEESE","d"
"19_2","SAPLING","POTR",2,0.00098172,"STEESE","d"
"19_2","SAPLING","SALIX",8,0.02214324,"STEESE","d"
"19_2","TREE","ALCR",0,0,"STEESE","d"
"19_2","TREE","ARCT",0,0,"STEESE","d"
"19_2","TREE","BENE",2,0.12609648,"STEESE","d"
"19_2","TREE","PIME",0,0,"STEESE","c"
"19_2","TREE","POBA",0,0,"STEESE","d"
"19_2","TREE","POTR",0,0,"STEESE","d"
"19_2","TREE","SALIX",2,0.92325312,"STEESE","d"
"2_3","SAPLING","ALCR",0,0,"STEESE","d"
"2_3","SAPLING","ARCT",0,0,"STEESE","d"
"2_3","SAPLING","BENE",3,0.11049804,"STEESE","d"
"2_3","SAPLING","PIME",0,0,"STEESE","c"
"2_3","SAPLING","POBA",0,0,"STEESE","d"
"2_3","SAPLING","POTR",29,0.55734426,"STEESE","d"
"2_3","SAPLING","SALIX",11,0.05743062,"STEESE","d"
"2_3","TREE","ALCR",0,0,"STEESE","d"
"2_3","TREE","ARCT",0,0,"STEESE","d"
"2_3","TREE","BENE",2,0.10957086,"STEESE","d"
"2_3","TREE","PIME",0,0,"STEESE","c"
"2_3","TREE","POBA",0,0,"STEESE","d"
"2_3","TREE","POTR",21,2.27529972,"STEESE","d"
"2_3","TREE","SALIX",3,0.15522084,"STEESE","d"
"20_1","SAPLING","ALCR",0,0,"STEESE","d"
"20_1","SAPLING","ARCT",0,0,"STEESE","d"
"20_1","SAPLING","BENE",0,0,"STEESE","d"
"20_1","SAPLING","PIME",0,0,"STEESE","c"
"20_1","SAPLING","POBA",0,0,"STEESE","d"
"20_1","SAPLING","POTR",0,0,"STEESE","d"
"20_1","SAPLING","SALIX",7,0.96901218,"STEESE","d"
"20_1","TREE","ALCR",0,0,"STEESE","d"
"20_1","TREE","ARCT",0,0,"STEESE","d"
"20_1","TREE","BENE",0,0,"STEESE","d"
"20_1","TREE","PIME",0,0,"STEESE","c"
"20_1","TREE","POBA",0,0,"STEESE","d"
"20_1","TREE","POTR",0,0,"STEESE","d"
"20_1","TREE","SALIX",2,0.9459963,"STEESE","d"
"22_3","SAPLING","ALCR",0,0,"STEESE","d"
"22_3","SAPLING","ARCT",3,0.00616302,"STEESE","d"
"22_3","SAPLING","BENE",15,0.09266346,"STEESE","d"
"22_3","SAPLING","PIME",1,0.00441774,"STEESE","c"
"22_3","SAPLING","POBA",0,0,"STEESE","d"
"22_3","SAPLING","POTR",57,0.8003745,"STEESE","d"
"22_3","SAPLING","SALIX",65,0.84477006,"STEESE","d"
"22_3","TREE","ALCR",0,0,"STEESE","d"
"22_3","TREE","ARCT",0,0,"STEESE","d"
"22_3","TREE","BENE",2,0.07373808,"STEESE","d"
"22_3","TREE","PIME",0,0,"STEESE","c"
"22_3","TREE","POBA",0,0,"STEESE","d"
"22_3","TREE","POTR",7,0.3943242,"STEESE","d"
"22_3","TREE","SALIX",9,1.05774876,"STEESE","d"
"23_3","SAPLING","ALCR",0,0,"STEESE","d"
"23_3","SAPLING","ARCT",0,0,"STEESE","d"
"23_3","SAPLING","BENE",3,0.01974348,"STEESE","d"
"23_3","SAPLING","PIME",0,0,"STEESE","c"
"23_3","SAPLING","POBA",0,0,"STEESE","d"
"23_3","SAPLING","POTR",6,0.0640845,"STEESE","d"
"23_3","SAPLING","SALIX",14,0.11175246,"STEESE","d"
"23_3","TREE","ALCR",0,0,"STEESE","d"
"23_3","TREE","ARCT",0,0,"STEESE","d"
"23_3","TREE","BENE",0,0,"STEESE","d"
"23_3","TREE","PIME",0,0,"STEESE","c"
"23_3","TREE","POBA",0,0,"STEESE","d"
"23_3","TREE","POTR",1,0.04275936,"STEESE","d"
"23_3","TREE","SALIX",4,0.27329994,"STEESE","d"
"24_3","SAPLING","ALCR",0,0,"STEESE","d"
"24_3","SAPLING","ARCT",0,0,"STEESE","d"
"24_3","SAPLING","BENE",2,0.0021816,"STEESE","d"
"24_3","SAPLING","PIME",0,0,"STEESE","c"
"24_3","SAPLING","POBA",0,0,"STEESE","d"
"24_3","SAPLING","POTR",52,3.1458672,"STEESE","d"
"24_3","SAPLING","SALIX",71,0.36389088,"STEESE","d"
"24_3","TREE","ALCR",0,0,"STEESE","d"
"24_3","TREE","ARCT",0,0,"STEESE","d"
"24_3","TREE","BENE",1,0.07068384,"STEESE","d"
"24_3","TREE","PIME",0,0,"STEESE","c"
"24_3","TREE","POBA",0,0,"STEESE","d"
"24_3","TREE","POTR",36,4.17945474,"STEESE","d"
"24_3","TREE","SALIX",5,0.35031042,"STEESE","d"
"25_3","SAPLING","ALCR",0,0,"STEESE","d"
"25_3","SAPLING","ARCT",1,0.01968894,"STEESE","d"
"25_3","SAPLING","BENE",0,0,"STEESE","d"
"25_3","SAPLING","PIME",0,0,"STEESE","c"
"25_3","SAPLING","POBA",0,0,"STEESE","d"
"25_3","SAPLING","POTR",33,0.6340275,"STEESE","d"
"25_3","SAPLING","SALIX",47,0.460863,"STEESE","d"
"25_3","TREE","ALCR",0,0,"STEESE","d"
