"SITECODE","SITENUM","TREAT","SPP","DBH_AV","CAN_AV","BROW_INDEX","UND","CLUMP","STEM_COUNT","QUAD","TYPE","BASAL"
"32_2",32,2,"SALIX",4.7,61,0.6,"VAVI","CLUMP",5,2,"SAPLING",0.12047886
"32_2",32,2,"SALIX",2.4,85,0.67,"VAVI","CLUMP",3,2,"SAPLING",0.03141504
"32_2",32,2,"BENE",1.6,100,1,"LEDE","IND",1,2,"SAPLING",0.01396224
"32_2",32,2,"BENE",2.8,60,0,"VAVI","IND",1,2,"SAPLING",0.04275936
"32_2",32,2,"BENE",0.2,100,1,"VAVI","IND",1,2,"SAPLING",0.00021816
"32_2",32,2,"BENE",0.6,100,0,"VAVI","IND",1,2,"SAPLING",0.00196344
"32_2",32,2,"BENE",0.6,100,0,"VAVI","IND",1,2,"SAPLING",0.00196344
"32_2",32,2,"BENE",1.7,90,0,"VAVI","IND",1,2,"SAPLING",0.01576206
"32_2",32,2,"BENE",1.7,100,1,"VAVI","IND",1,2,"SAPLING",0.01576206
"32_2",32,2,"BENE",0.6,100,0,"VAVI","IND",1,2,"SAPLING",0.00196344
"32_2",32,2,"BENE",1.3,95,0,"VAVI","IND",1,2,"SAPLING",0.00921726
"32_2",32,2,"BENE",1.7,85,1,"VAVI","IND",1,2,"SAPLING",0.01576206
"32_2",32,2,"SALIX",0.7,100,1,"VAVI","IND",1,2,"SAPLING",0.00267246
"32_2",32,2,"BENE",0.8,100,1,"VAVI","IND",1,2,"SAPLING",0.00349056
"32_2",32,2,"BENE",2.5,95,1,"VAVI","IND",1,2,"SAPLING",0.0340875
"32_2",32,2,"BENE",2.7,100,1,"VAUL","IND",1,2,"SAPLING",0.03975966
"32_2",32,2,"BENE",3.1,95,0,"VAUL","IND",1,2,"SAPLING",0.05241294
"32_2",32,2,"BENE",1.9,100,1,"VAVI","IND",1,2,"SAPLING",0.01968894
"32_2",32,2,"BENE",1.2,100,1,"VAVI","IND",1,2,"SAPLING",0.00785376
"32_2",32,2,"BENE",1.9,100,1,"VAVI","IND",1,2,"SAPLING",0.01968894
"32_2",32,2,"SALIX",0.3,90,1,"?3 SA_2","IND",1,2,"SAPLING",0.00049086
"32_2",32,2,"SALIX",0.6,15,0,"?3 SA_2","IND",1,2,"SAPLING",0.00196344
"32_2",32,2,"SALIX",1,80,1,"?3 SA_2","IND",1,2,"SAPLING",0.005454
"32_2",32,2,"SALIX",0.7,80,1,"?3 SA_2","IND",1,2,"SAPLING",0.00267246
"32_2",32,2,"POTR",2,90,1,"VAVI","IND",1,2,"SAPLING",0.021816
"32_2",32,2,"POTR",1.1,100,1,"VAVI","IND",1,2,"SAPLING",0.00659934
"32_2",32,2,"SALIX",0.8,100,1,"VAVI","IND",1,2,"SAPLING",0.00349056
"32_2",32,2,"SALIX",0.2,30,1,"COSU","IND",1,2,"SAPLING",0.00021816
"32_2",32,2,"SALIX",1.3,5,1,"VAVI","IND",1,2,"SAPLING",0.00921726
"32_2",32,2,"SALIX",0.6,100,0,"VAVI","IND",1,2,"SAPLING",0.00196344
"32_2",32,2,"BENE",7.1,92,1,"VAVI","CLUMP",5,2,"SAPLING",0.27493614
"32_2",32,2,"BENE",5.3,86.66667,1,"VAVI","CLUMP",3,2,"SAPLING",0.15320286
"32_2",32,2,"BENE",1.2,95,1,"VAVI","IND",1,2,"SAPLING",0.00785376
"32_2",32,2,"BENE",10.9,68.75,0.5,"VAVI","CLUMP",4,2,"SAPLING",0.64798974
"32_2",32,2,"BENE",6.6,57,1,"VAVI","CLUMP",5,2,"SAPLING",0.23757624
"32_2",32,2,"BENE",6.6,97,0.8,"VAVI","CLUMP",5,2,"SAPLING",0.23757624
"32_2",32,2,"SALIX",3.5,20.5,1,"VAVI","CLUMP",2,2,"SAPLING",0.0668115
"32_2",32,2,"BENE",5.2,86.66667,1,"VAVI","CLUMP",3,2,"SAPLING",0.14747616
