"SITE","SITECODE","SITENUM","TREAT","SPP","DBH_SUM","CAN_AV","BROWSE_INDEX","UND","CLUMP","STEM_COUNT","QUADRANT","TYPE"
"STEESE","34_2",34,2,"SALIX",2.1,100,0.75,"EQAR","CLUMP",4,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.2,100,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.9,100,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.6,95,1,"CHAN","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,95,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,95,1,"CHAN","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.2,100,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,100,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.2,90,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,70,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,50,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.9,20,1,"CHAN","CLUMP",2,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,100,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.8,95,0,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.2,95,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.7,40,1,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,95,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,95,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.8,95,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.4,100,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,95,1,"EQAR","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.9,95,1,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.5,80,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.6,80,0,"MOSS","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,0,"LITTER","IND",1,2,"SAPLING"
"STEESE","34_2",34,2,"SALIX",0.3,100,1,"MOSS","IND",1,2,"SAPLING"
