"SITECODE","TYPE","SPP","COUNT","BASAL","SITE","DIVISON"
"10_0","SAPLING","ALCR",0,0,"DALTON","d"
"10_0","SAPLING","BENE",5,4.95245016,"DALTON","d"
"10_0","SAPLING","PIME",101,37.77069528,"DALTON","c"
"10_0","SAPLING","POTR",0,0,"DALTON","d"
"10_0","SAPLING","SALIX",1,0.06304824,"DALTON","d"
"10_0","TREE","ALCR",0,0,"DALTON","d"
"10_0","TREE","BENE",4,4.93848792,"DALTON","d"
"10_0","TREE","PIME",96,40.45793562,"DALTON","c"
"10_0","TREE","POTR",0,0,"DALTON","d"
"10_0","TREE","SALIX",1,0.06304824,"DALTON","d"
"11_0","SAPLING","ALCR",0,0,"DALTON","d"
"11_0","SAPLING","BENE",0,0,"DALTON","d"
"11_0","SAPLING","PIME",35,6.0250338,"DALTON","c"
"11_0","SAPLING","POTR",0,0,"DALTON","d"
"11_0","SAPLING","SALIX",3,0.16449264,"DALTON","d"
"11_0","TREE","ALCR",0,0,"DALTON","d"
"11_0","TREE","BENE",1,0.68414976,"DALTON","d"
"11_0","TREE","PIME",88,30.28982526,"DALTON","c"
"11_0","TREE","POTR",0,0,"DALTON","d"
"11_0","TREE","SALIX",9,0.64526274,"DALTON","d"
"12_1","SAPLING","ALCR",0,0,"DALTON","d"
"12_1","SAPLING","BENE",20,0.0392688,"DALTON","d"
"12_1","SAPLING","PIME",0,0,"DALTON","c"
"12_1","SAPLING","POTR",0,0,"DALTON","d"
"12_1","SAPLING","SALIX",20,0.0098172,"DALTON","d"
"12_1","TREE","ALCR",0,0,"DALTON","d"
"12_1","TREE","BENE",0,0,"DALTON","d"
"12_1","TREE","PIME",0,0,"DALTON","c"
"12_1","TREE","POTR",0,0,"DALTON","d"
"12_1","TREE","SALIX",0,0,"DALTON","d"
"14_3","SAPLING","ALCR",2,0.12576924,"DALTON","d"
"14_3","SAPLING","BENE",7,0.06337548,"DALTON","d"
"14_3","SAPLING","PIME",0,0,"DALTON","c"
"14_3","SAPLING","POTR",0,0,"DALTON","d"
"14_3","SAPLING","SALIX",5,0.09195444,"DALTON","d"
"14_3","TREE","ALCR",10,0.80986446,"DALTON","d"
"14_3","TREE","BENE",1,0.18985374,"DALTON","d"
"14_3","TREE","PIME",0,0,"DALTON","c"
"14_3","TREE","POTR",0,0,"DALTON","d"
"14_3","TREE","SALIX",4,0.33613002,"DALTON","d"
"15_3","SAPLING","ALCR",0,0,"DALTON","d"
"15_3","SAPLING","BENE",520,19.3366116,"DALTON","d"
"15_3","SAPLING","PIME",0,0,"DALTON","c"
"15_3","SAPLING","POTR",0,0,"DALTON","d"
"15_3","SAPLING","SALIX",20,3.5440092,"DALTON","d"
"15_3","TREE","ALCR",0,0,"DALTON","d"
"15_3","TREE","BENE",160,17.2160964,"DALTON","d"
"15_3","TREE","PIME",0,0,"DALTON","c"
"15_3","TREE","POTR",0,0,"DALTON","d"
"15_3","TREE","SALIX",20,3.5440092,"DALTON","d"
"16_2","SAPLING","ALCR",0,0,"DALTON","d"
"16_2","SAPLING","BENE",63,1.12117878,"DALTON","d"
"16_2","SAPLING","PIME",0,0,"DALTON","c"
"16_2","SAPLING","POTR",10,0.12702366,"DALTON","d"
"16_2","SAPLING","SALIX",101,1.05802146,"DALTON","d"
"16_2","TREE","ALCR",0,0,"DALTON","d"
"16_2","TREE","BENE",8,0.3667815,"DALTON","d"
"16_2","TREE","PIME",0,0,"DALTON","c"
"16_2","TREE","POTR",1,0.049086,"DALTON","d"
"16_2","TREE","SALIX",5,0.7597422,"DALTON","d"
"32_2","SAPLING","ALCR",0,0,"DALTON","d"
"32_2","SAPLING","BENE",32,5.12316036,"DALTON","d"
"32_2","SAPLING","PIME",0,0,"DALTON","c"
"32_2","SAPLING","POTR",4,0.04286844,"DALTON","d"
"32_2","SAPLING","SALIX",17,0.4188672,"DALTON","d"
"32_2","TREE","ALCR",0,0,"DALTON","d"
"32_2","TREE","BENE",17,5.20573392,"DALTON","d"
"32_2","TREE","PIME",0,0,"DALTON","c"
"32_2","TREE","POTR",0,0,"DALTON","d"
"32_2","TREE","SALIX",3,0.34049322,"DALTON","d"
"37_3","SAPLING","ALCR",12,1.5391188,"DALTON","d"
"37_3","SAPLING","BENE",17,0.77343174,"DALTON","d"
"37_3","SAPLING","PIME",0,0,"DALTON","c"
"37_3","SAPLING","POTR",0,0,"DALTON","d"
"37_3","SAPLING","SALIX",28,2.88609318,"DALTON","d"
"37_3","TREE","ALCR",5,1.45147302,"DALTON","d"
"37_3","TREE","BENE",7,0.55418094,"DALTON","d"
"37_3","TREE","PIME",0,0,"DALTON","c"
"37_3","TREE","POTR",0,0,"DALTON","d"
"37_3","TREE","SALIX",17,4.36827222,"DALTON","d"
"39_2","SAPLING","ALCR",2,3.47272542,"DALTON","d"
"39_2","SAPLING","BENE",17,3.68155908,"DALTON","d"
"39_2","SAPLING","PIME",0,0,"DALTON","c"
"39_2","SAPLING","POTR",0,0,"DALTON","d"
"39_2","SAPLING","SALIX",7,0.2233413,"DALTON","d"
"39_2","TREE","ALCR",1,3.46350816,"DALTON","d"
"39_2","TREE","BENE",11,3.61420218,"DALTON","d"
"39_2","TREE","PIME",0,0,"DALTON","c"
"39_2","TREE","POTR",0,0,"DALTON","d"
"39_2","TREE","SALIX",2,0.20185254,"DALTON","d"
"40_2","SAPLING","ALCR",0,0,"DALTON","d"
"40_2","SAPLING","BENE",14,4.01065344,"DALTON","d"
"40_2","SAPLING","PIME",0,0,"DALTON","c"
"40_2","SAPLING","POTR",3,0.02170692,"DALTON","d"
