"SITE","SITECODE","TREAT","TYPE","DIVISON","SPP","COUNT_SITE","BASAL_SITE","COUNT_HA","BASAL_HA","LAT","LONG","SLOPE","ASPECT_RAW","ELEVATION","SOLAR","EXP_MIN","OL_AV","TOTAL_COUNT_SITE","DECID_COUNT_SITE","CONIF_COUNT_SITE","DECID_PROP_SITE","CONIF_PROP_SITE","DECID_COUNT_HA","CONIF_COUNT_HA","DECID_BASAL_HA","CONIF_BASAL_HA"
"DALTON","10_0",0,"SAPLING","d","ALCR",0,0,0,0,65.71578,-149.22574,4.3130798,122.1900024,267.9599915,601249.8528,0,20,107,6,101,0.0560747663551402,0.94392523364486,150,2525,125.38746,944.267382
"DALTON","10_0",0,"SAPLING","d","BENE",5,4.95245016,125,123.811254,65.71578,-149.22574,4.3130798,122.1900024,267.9599915,601249.8528,0,20,107,6,101,0.0560747663551402,0.94392523364486,150,2525,125.38746,944.267382
"DALTON","10_0",0,"SAPLING","c","PIME",101,37.77069528,2525,944.267382,65.71578,-149.22574,4.3130798,122.1900024,267.9599915,601249.8528,0,20,107,6,101,0.0560747663551402,0.94392523364486,150,2525,125.38746,944.267382
"DALTON","10_0",0,"SAPLING","d","POTR",0,0,0,0,65.71578,-149.22574,4.3130798,122.1900024,267.9599915,601249.8528,0,20,107,6,101,0.0560747663551402,0.94392523364486,150,2525,125.38746,944.267382
"DALTON","10_0",0,"SAPLING","d","SALIX",1,0.06304824,25,1.576206,65.71578,-149.22574,4.3130798,122.1900024,267.9599915,601249.8528,0,20,107,6,101,0.0560747663551402,0.94392523364486,150,2525,125.38746,944.267382
"DALTON","11_0",0,"SAPLING","d","ALCR",0,0,0,0,65.71918,-149.22691,3.8304601,210.697998,279.3359985,602533.3492,0,17.6,38,3,35,0.0789473684210526,0.921052631578947,75,875,4.112316,150.625845
"DALTON","11_0",0,"SAPLING","d","BENE",0,0,0,0,65.71918,-149.22691,3.8304601,210.697998,279.3359985,602533.3492,0,17.6,38,3,35,0.0789473684210526,0.921052631578947,75,875,4.112316,150.625845
"DALTON","11_0",0,"SAPLING","c","PIME",35,6.0250338,875,150.625845,65.71918,-149.22691,3.8304601,210.697998,279.3359985,602533.3492,0,17.6,38,3,35,0.0789473684210526,0.921052631578947,75,875,4.112316,150.625845
"DALTON","11_0",0,"SAPLING","d","POTR",0,0,0,0,65.71918,-149.22691,3.8304601,210.697998,279.3359985,602533.3492,0,17.6,38,3,35,0.0789473684210526,0.921052631578947,75,875,4.112316,150.625845
"DALTON","11_0",0,"SAPLING","d","SALIX",3,0.16449264,75,4.112316,65.71918,-149.22691,3.8304601,210.697998,279.3359985,602533.3492,0,17.6,38,3,35,0.0789473684210526,0.921052631578947,75,875,4.112316,150.625845
