"exp_min$SITE","exp_min$TREATMENT","exp_min$SITECODE","AV"
"DALTON",0,"10_0_TLS",0
"DALTON",0,"10_0_TLS",0
"DALTON",0,"10_0_TLS",0
"DALTON",0,"10_0_TLS",0
"DALTON",0,"10_0_TLS",0
"DALTON",0,"10_0_TLS",0
"DALTON",0,"10_0_TLS",0
"DALTON",0,"10_0_TLS",0
"DALTON",0,"10_0_TLS",0
"DALTON",0,"10_0_TLS",0
"DALTON",0,"11_0",0
"DALTON",0,"11_0",0
"DALTON",0,"11_0",0
"DALTON",0,"11_0",0
"DALTON",0,"11_0",0
"DALTON",0,"11_0",0
"DALTON",0,"11_0",0
"DALTON",0,"11_0",0
"DALTON",0,"11_0",0
"DALTON",0,"11_0",0
"DALTON",0,"44_0",0
"DALTON",0,"44_0",0
"DALTON",0,"44_0",0
"DALTON",0,"44_0",0
"DALTON",0,"44_0",0
"DALTON",0,"44_0",0
"DALTON",0,"44_0",0
"DALTON",0,"44_0",0
"DALTON",0,"44_0",0
"DALTON",0,"44_0",0
"DALTON",0,"58_0",0
"DALTON",0,"58_0",0
"DALTON",0,"58_0",0
"DALTON",0,"58_0",0
"DALTON",0,"58_0",0
"DALTON",0,"58_0",0
"DALTON",0,"58_0",0
"DALTON",0,"58_0",0
"DALTON",0,"58_0",0
"DALTON",0,"58_0",0
"DALTON",1,"12_1_TLS",12.5
"DALTON",1,"12_1_TLS",12.5
"DALTON",1,"12_1_TLS",12.5
"DALTON",1,"12_1_TLS",12.5
"DALTON",1,"12_1_TLS",12.5
"DALTON",1,"12_1_TLS",12.5
"DALTON",1,"12_1_TLS",12.5
"DALTON",1,"12_1_TLS",12.5
"DALTON",1,"12_1_TLS",12.5
"DALTON",1,"12_1_TLS",12.5
"DALTON",1,"41_1",22.5
"DALTON",1,"41_1",22.5
"DALTON",1,"41_1",22.5
"DALTON",1,"41_1",22.5
"DALTON",1,"41_1",22.5
"DALTON",1,"41_1",22.5
"DALTON",1,"41_1",22.5
"DALTON",1,"41_1",22.5
"DALTON",1,"41_1",22.5
"DALTON",1,"41_1",22.5
"DALTON",1,"42_1",10
"DALTON",1,"42_1",10
"DALTON",1,"42_1",10
"DALTON",1,"42_1",10
"DALTON",1,"42_1",10
"DALTON",1,"42_1",10
