SITE,SITECODE,SITENUM,TREATMENT,SUBPLOT,ORGANIC,MINERAL
STEESE,34_2,34,2,1,100,0
STEESE,34_2,34,2,2,100,0
STEESE,34_2,34,2,3,100,0
STEESE,34_2,34,2,4,100,0
STEESE,34_2,34,2,5,100,0
STEESE,34_2,34,2,6,100,0
STEESE,34_2,34,2,7,100,0
STEESE,34_2,34,2,8,100,0
STEESE,34_2,34,2,9,100,0
STEESE,34_2,34,2,10,100,0
STEESE,22_3,22,3,1,98,2
STEESE,22_3,22,3,2,100,0
STEESE,22_3,22,3,3,100,0
STEESE,22_3,22,3,4,97,3
STEESE,22_3,22,3,5,100,0
STEESE,22_3,22,3,6,100,0
STEESE,22_3,22,3,7,97,3
STEESE,22_3,22,3,8,99,1
STEESE,22_3,22,3,9,100,0
STEESE,22_3,22,3,10,100,0
STEESE,17_3,17,3,1,97,3
STEESE,17_3,17,3,2,100,0
STEESE,17_3,17,3,3,100,0
STEESE,17_3,17,3,4,100,0
STEESE,17_3,17,3,5,100,0
STEESE,17_3,17,3,6,100,0
STEESE,17_3,17,3,7,100,0
STEESE,17_3,17,3,8,100,0
STEESE,17_3,17,3,9,100,0
STEESE,17_3,17,3,10,100,0
STEESE,25_3,25,3,1,100,0
STEESE,25_3,25,3,2,100,0
STEESE,25_3,25,3,3,100,0
STEESE,25_3,25,3,4,100,0
STEESE,25_3,25,3,5,100,0
STEESE,25_3,25,3,6,100,0
STEESE,25_3,25,3,7,90,10
STEESE,25_3,25,3,8,95,5
STEESE,25_3,25,3,9,100,0
STEESE,25_3,25,3,10,95,5
STEESE,35_3,35,3,1,97,3
STEESE,35_3,35,3,2,90,10
STEESE,35_3,35,3,3,95,5
STEESE,35_3,35,3,4,90,5
STEESE,35_3,35,3,5,100,0
STEESE,35_3,35,3,6,95,5
STEESE,35_3,35,3,7,97,3
STEESE,35_3,35,3,8,100,0
STEESE,35_3,35,3,9,75,20
STEESE,35_3,35,3,10,100,0
STEESE,24_3,24,3,1,100,0
STEESE,24_3,24,3,2,100,0
STEESE,24_3,24,3,3,100,0
STEESE,24_3,24,3,4,100,0
STEESE,24_3,24,3,5,100,0
STEESE,24_3,24,3,6,100,0
STEESE,24_3,24,3,7,100,0
STEESE,24_3,24,3,8,100,0
STEESE,24_3,24,3,9,100,0
STEESE,24_3,24,3,10,100,0
STEESE,26_2,26,2,1,100,0
STEESE,26_2,26,2,2,100,0
STEESE,26_2,26,2,3,100,0
STEESE,26_2,26,2,4,100,0
STEESE,26_2,26,2,5,100,0
STEESE,26_2,26,2,6,100,0
STEESE,26_2,26,2,7,100,0
STEESE,26_2,26,2,8,100,0
STEESE,26_2,26,2,9,100,0
STEESE,26_2,26,2,10,100,0
STEESE,33_1,33,1,1,100,0
STEESE,33_1,33,1,2,100,0
STEESE,33_1,33,1,3,100,0
STEESE,33_1,33,1,4,100,0
STEESE,33_1,33,1,5,100,0
STEESE,33_1,33,1,6,100,0
STEESE,33_1,33,1,7,100,0
STEESE,33_1,33,1,8,100,0
STEESE,33_1,33,1,9,100,0
STEESE,33_1,33,1,10,100,0
STEESE,18_1,18,1,1,100,0
STEESE,18_1,18,1,2,100,0
STEESE,18_1,18,1,3,100,0
STEESE,18_1,18,1,4,100,0
STEESE,18_1,18,1,5,100,0
STEESE,18_1,18,1,6,100,0
STEESE,18_1,18,1,7,100,0
STEESE,18_1,18,1,8,100,0
STEESE,18_1,18,1,9,100,0
STEESE,18_1,18,1,10,100,0
STEESE,29_1,29,1,1,100,0
STEESE,29_1,29,1,2,100,0
STEESE,29_1,29,1,3,100,0
STEESE,29_1,29,1,4,100,0
STEESE,29_1,29,1,5,100,0
STEESE,29_1,29,1,6,100,0
STEESE,29_1,29,1,7,100,0
STEESE,29_1,29,1,8,100,0
STEESE,29_1,29,1,9,100,0
STEESE,29_1,29,1,10,100,0
STEESE,23_3,23,3,1,100,0
STEESE,23_3,23,3,2,90,7
STEESE,23_3,23,3,3,100,0
STEESE,23_3,23,3,4,97,3
STEESE,23_3,23,3,5,100,0
STEESE,23_3,23,3,6,100,0
STEESE,23_3,23,3,7,95,0
STEESE,23_3,23,3,8,100,0
STEESE,23_3,23,3,9,97,3
STEESE,23_3,23,3,10,100,0
STEESE,2_3,2,3,1,100,0
STEESE,2_3,2,3,2,100,0
STEESE,2_3,2,3,3,100,0
STEESE,2_3,2,3,4,97,3
STEESE,2_3,2,3,5,100,0
STEESE,2_3,2,3,6,95,5
STEESE,2_3,2,3,7,100,0
STEESE,2_3,2,3,8,90,10
STEESE,2_3,2,3,9,100,0
STEESE,2_3,2,3,10,100,0
STEESE,36_1,36,1,1,100,0
STEESE,36_1,36,1,2,100,0
STEESE,36_1,36,1,3,100,0
STEESE,36_1,36,1,4,100,0
STEESE,36_1,36,1,5,100,0
STEESE,36_1,36,1,6,100,0
STEESE,36_1,36,1,7,100,0
STEESE,36_1,36,1,8,100,0
STEESE,36_1,36,1,9,100,0
STEESE,36_1,36,1,10,100,0
STEESE,20_1,20,1,1,100,0
STEESE,20_1,20,1,2,100,0
STEESE,20_1,20,1,3,100,0
STEESE,20_1,20,1,4,100,0
STEESE,20_1,20,1,5,100,0
STEESE,20_1,20,1,6,100,0
STEESE,20_1,20,1,7,100,0
STEESE,20_1,20,1,8,100,0
STEESE,20_1,20,1,9,100,0
STEESE,20_1,20,1,10,100,0
STEESE,27_2,27,2,1,100,0
STEESE,27_2,27,2,2,100,0
STEESE,27_2,27,2,3,100,0
STEESE,27_2,27,2,4,100,0
STEESE,27_2,27,2,5,100,0
STEESE,27_2,27,2,6,100,0
STEESE,27_2,27,2,7,100,0
STEESE,27_2,27,2,8,95,5
STEESE,27_2,27,2,9,100,0
STEESE,27_2,27,2,10,100,0
STEESE,4_2,4,2,1,100,0
STEESE,4_2,4,2,2,100,0
STEESE,4_2,4,2,3,97,3
STEESE,4_2,4,2,4,95,5
STEESE,4_2,4,2,5,100,0
STEESE,4_2,4,2,6,100,0
STEESE,4_2,4,2,7,100,0
STEESE,4_2,4,2,8,97,3
STEESE,4_2,4,2,9,100,0
STEESE,4_2,4,2,10,95,5
STEESE,3_2,3,2,1,100,0
STEESE,3_2,3,2,2,100,0
STEESE,3_2,3,2,3,100,0
STEESE,3_2,3,2,4,100,0
STEESE,3_2,3,2,5,95,0
STEESE,3_2,3,2,6,95,5
STEESE,3_2,3,2,7,100,0
STEESE,3_2,3,2,8,100,0
STEESE,3_2,3,2,9,100,0
STEESE,3_2,3,2,10,100,0
STEESE,19_2,19,2,1,100,0
STEESE,19_2,19,2,2,100,0
STEESE,19_2,19,2,3,100,0
STEESE,19_2,19,2,4,100,0
STEESE,19_2,19,2,5,100,0
STEESE,19_2,19,2,6,100,0
STEESE,19_2,19,2,7,100,0
STEESE,19_2,19,2,8,97,3
STEESE,19_2,19,2,9,100,0
STEESE,19_2,19,2,10,100,0
STEESE,28_1,28,1,1,100,0
STEESE,28_1,28,1,2,100,0
STEESE,28_1,28,1,3,100,0
STEESE,28_1,28,1,4,100,0
STEESE,28_1,28,1,5,100,0
STEESE,28_1,28,1,6,100,0
