SITE,SITE CODE,SITENUM,TREATMENT,CORNER,ORG_DEPTH
DALTON,32_2,32,2,SE,2
DALTON,32_2,32,2,NE,2.1
DALTON,32_2,32,2,NW,2
DALTON,32_2,32,2,SW,1
DALTON,32_2,32,2,C,1
DALTON,39_2,39,2,SE,7
DALTON,39_2,39,2,SW,6
DALTON,39_2,39,2,NW,7.5
DALTON,39_2,39,2,NE,8
DALTON,39_2,39,2,C,8
DALTON,56_2,56,2,SE,3.5
DALTON,56_2,56,2,SW,3
DALTON,56_2,56,2,NW,1.9
DALTON,56_2,56,2,NE,4
DALTON,56_2,56,2,C,4.1
DALTON,57_2,57,2,NW,2.5
DALTON,57_2,57,2,NE,0.5
DALTON,57_2,57,2,SW,0.5
DALTON,57_2,57,2,SE,0.5
DALTON,57_2,57,2,C,0.5
DALTON,47_2,47,2,SE,7.5
DALTON,47_2,47,2,NE,5
DALTON,47_2,47,2,NW,5
DALTON,47_2,47,2,SW,4
DALTON,47_2,47,2,C,2.5
DALTON,37_3,37,3,NW,2.5
DALTON,37_3,37,3,SW,2
DALTON,37_3,37,3,SE,2.5
DALTON,37_3,37,3,NE,1.5
DALTON,37_3,37,3,C,4
DALTON,15_3,15,3,NW,2.6
DALTON,15_3,15,3,SW,2.3
DALTON,15_3,15,3,NW,2.1
DALTON,15_3,15,3,NE,1.35
DALTON,15_3,15,3,C,6.5
DALTON,55_3,55,3,SW,2
DALTON,55_3,55,3,SE,2
DALTON,55_3,55,3,NE,0.1
DALTON,55_3,55,3,NW,2
DALTON,55_3,55,3,C,2
DALTON,54_3,54,3,NE,2
DALTON,54_3,54,3,SE,1.5
DALTON,54_3,54,3,SW,1.5
DALTON,54_3,54,3,NW,0
DALTON,14_3,14,3,NE,0.5
DALTON,14_3,14,3,NW,2.5
DALTON,14_3,14,3,SW,0
DALTON,14_3,14,3,SE,0.5
DALTON,7_3,7,3,SW,2
DALTON,7_3,7,3,NW,1
DALTON,7_3,7,3,NE,4
DALTON,7_3,7,3,SE,1
DALTON,7_3,7,3,C,0.5
DALTON,12_1_TLS,12,1,SE,3
DALTON,12_1_TLS,12,1,SW,10
DALTON,12_1_TLS,12,1,NE,2
DALTON,12_1_TLS,12,1,NW,5
DALTON,12_1_TLS,12,1,c,2.5
DALTON,42_1,42,1,SW,4
DALTON,42_1,42,1,NW,12
DALTON,42_1,42,1,NE,14
DALTON,42_1,42,1,SE,12
DALTON,42_1,42,1,C,15
DALTON,40_2,40,2,SE,1
DALTON,40_2,40,2,NE,1
DALTON,40_2,40,2,NW,2
DALTON,40_2,40,2,SW,4
DALTON,8_2,8,2,SW,1
DALTON,8_2,8,2,NW,2
DALTON,8_2,8,2,NE,1
DALTON,8_2,8,2,SE,1
DALTON,8_2,8,2,C,2
DALTON,16_2,16,2,NW,3
DALTON,16_2,16,2,NE,2
DALTON,16_2,16,2,SE,5
DALTON,16_2,16,2,SW,2
DALTON,16_2,16,2,C,4
DALTON,44_0,44,0,SW,17
DALTON,44_0,44,0,SE,20
DALTON,44_0,44,0,NE,20
DALTON,44_0,44,0,NW,17
DALTON,44_0,44,0,C,20
DALTON,48_1,48,1,NE,2
DALTON,48_1,48,1,NW,3
DALTON,48_1,48,1,SW,2
DALTON,48_1,48,1,SE,2
DALTON,48_1,48,1,C,5
DALTON,41_1,41,1,SW,3
DALTON,41_1,41,1,NW,16
DALTON,41_1,41,1,NE,2
DALTON,41_1,41,1,SE,15
DALTON,41_1,41,1,C,5
DALTON,10_0_TLS,10,0,SE,19
DALTON,10_0_TLS,10,0,SW,17
DALTON,10_0_TLS,10,0,NW,23
DALTON,10_0_TLS,10,0,NE,23
DALTON,10_0_TLS,10,0,C,18
DALTON,58_0,58,0,NW,27
DALTON,58_0,58,0,NE,16
DALTON,58_0,58,0,SE,14
DALTON,58_0,58,0,SW,11
DALTON,58_0,58,0,C,17
DALTON,11_0,11,0,SW,17
DALTON,11_0,11,0,SE,18
DALTON,11_0,11,0,NE,16
DALTON,11_0,11,0,NW,20
DALTON,11_0,11,0,C,17
DALTON,52_1,52,1,NW,2
DALTON,52_1,52,1,SE,4
DALTON,52_1,52,1,SW,14
DALTON,52_1,52,1,NE,5
DALTON,52_1,52,1,C,9
DALTON,65_1_TLS,65,1,NE,3
DALTON,65_1_TLS,65,1,SE,1
DALTON,65_1_TLS,65,1,SW,6
DALTON,65_1_TLS,65,1,NE,1.5
DALTON,65_1_TLS,65,1,C,5
DALTON,64_1_TLS,64,1,SW,15
DALTON,64_1_TLS,64,1,SE,3
DALTON,64_1_TLS,64,1,NE,3
DALTON,64_1_TLS,64,1,NW,2
DALTON,64_1_TLS,64,1,C,3
DALTON,50_TLS_1,50,1,NW,9
DALTON,50_TLS_1,50,1,SW,3
DALTON,50_TLS_1,50,1,NE,3
DALTON,50_TLS_1,50,1,SE,3
DALTON,50_TLS_1,50,1,C,2
STEESE,34_2,34,2,C,3
STEESE,34_2,34,2,NE,3
STEESE,34_2,34,2,NW,2
STEESE,34_2,34,2,SE,2
STEESE,34_2,34,2,SW,3
STEESE,22_3,22,3,C,1
STEESE,22_3,22,3,NE,10
STEESE,22_3,22,3,NW,9
STEESE,22_3,22,3,SE,3
STEESE,22_3,22,3,SW,7
STEESE,17_3,17,3,C,1
STEESE,17_3,17,3,NE,3
STEESE,17_3,17,3,NW,5
STEESE,17_3,17,3,SE,5
STEESE,17_3,17,3,SW,3
STEESE,25_3,25,3,C,3
STEESE,25_3,25,3,NE,2
STEESE,25_3,25,3,NW,2
STEESE,25_3,25,3,SE,3
STEESE,25_3,25,3,SW,3
STEESE,35_3,35,3,C,1
STEESE,35_3,35,3,NW,3
STEESE,35_3,35,3,NE,0
STEESE,35_3,35,3,SW,3
STEESE,35_3,35,3,SE,2
STEESE,24_3,24,3,C,1
STEESE,24_3,24,3,NW,1
STEESE,24_3,24,3,NE,2
STEESE,24_3,24,3,SW,1
STEESE,24_3,24,3,SE,1
STEESE,26_2,26,2,C,12
STEESE,26_2,26,2,NE,12
STEESE,26_2,26,2,NW,16
STEESE,26_2,26,2,SE,15
STEESE,26_2,26,2,SW,10
STEESE,33_1,33,1,C,10
STEESE,33_1,33,1,NE,10
STEESE,33_1,33,1,NW,4
STEESE,33_1,33,1,SE,10
STEESE,18_1,18,1,NE,10
STEESE,18_1,18,1,NW,10
STEESE,18_1,18,1,SE,7
STEESE,18_1,18,1,SW,4
STEESE,29_1,29,1,C,10
STEESE,29_1,29,1,SE,10
STEESE,29_1,29,1,SW,10
STEESE,29_1,29,1,NE,15
STEESE,29_1,29,1,NW,10
STEESE,23_3,23,3,C,4
STEESE,23_3,23,3,SE,5
STEESE,23_3,23,3,SW,3
STEESE,23_3,23,3,NE,3
STEESE,23_3,23,3,NW,5
STEESE,2_3,2,3,C,3
STEESE,2_3,2,3,SW,0
STEESE,2_3,2,3,SE,0
STEESE,2_3,2,3,NW,1
STEESE,2_3,2,3,NE,4
STEESE,36_1,36,1,C,9
STEESE,36_1,36,1,SW,15
STEESE,36_1,36,1,SE,14
STEESE,36_1,36,1,NE,12
STEESE,36_1,36,1,NW,13
STEESE,20_1,20,1,C,13
STEESE,20_1,20,1,SW,5
STEESE,20_1,20,1,SE,25
STEESE,20_1,20,1,NW,12
STEESE,20_1,20,1,NE,10
STEESE,27_2,27,2,C,9
STEESE,27_2,27,2,NW,7
STEESE,27_2,27,2,SW,10
STEESE,27_2,27,2,SE,9
STEESE,27_2,27,2,NE,13
STEESE,4_2,4,2,C,9
STEESE,4_2,4,2,SW,12
STEESE,4_2,4,2,SE,13
STEESE,4_2,4,2,NE,16
STEESE,4_2,4,2,NW,15
STEESE,3_2,3,2,C,10
STEESE,3_2,3,2,SW,10
STEESE,3_2,3,2,SE,12
STEESE,3_2,3,2,NE,15
STEESE,3_2,3,2,NW,8
STEESE,19_2,19,2,C,10
STEESE,19_2,19,2,NW,10
STEESE,19_2,19,2,SW,8
STEESE,19_2,19,2,SE,10
STEESE,19_2,19,2,NE,10
STEESE,28_1,28,1,C,10
STEESE,28_1,28,1,SE,10
STEESE,28_1,28,1,NE,12
STEESE,28_1,28,1,NW,11
STEESE,28_1,28,1,SW,12
STEESE,5_1,5,1,C,10
STEESE,5_1,5,1,NW,10
STEESE,5_1,5,1,SW,11
STEESE,5_1,5,1,SE,15
STEESE,5_1,5,1,NE,11
STEESE,31_0,31,0,NE,22
STEESE,31_0,31,0,SE,9
STEESE,31_0,31,0,C,15
STEESE,31_0,31,0,NW,21
STEESE,31_0,31,0,SW,26
STEESE,1_0,1,0,NE,22
STEESE,1_0,1,0,SE,16
STEESE,1_0,1,0,SW,21.5
STEESE,1_0,1,0,NW,21
STEESE,1_0,1,0,C,22
STEESE,9_0,9,0,NE,22
STEESE,9_0,9,0,SE,23
STEESE,9_0,9,0,SW,18
STEESE,9_0,9,0,NW,22.5
STEESE,9_0,9,0,C,24
STEESE,6_0,6,0,NE,12.5
STEESE,6_0,6,0,SE,20
STEESE,6_0,6,0,SW,17
STEESE,6_0,6,0,NW,28.5
STEESE,6_0,6,0,C,21
