SITE,PLOT,TREAT,SPP,SITE_TOT_COUNT,SPP_TOTAL,SPP_PROP
Lowland,1_0,0,ALCR,440,0,0
Lowland,1_0,0,ARCTO,440,0,0
Lowland,1_0,0,BENE,440,0,0
Lowland,1_0,0,PIGL,440,0,0
Lowland,1_0,0,PIME,440,438,0.995454545
Lowland,1_0,0,POBA,440,0,0
Lowland,1_0,0,POTR,440,0,0
Lowland,1_0,0,SALIX,440,2,0.004545455
Lowland,17_3,3,ALCR,2753,30,0.010897203
Lowland,17_3,3,ARCTO,2753,32,0.011623683
Lowland,17_3,3,BENE,2753,2,0.00072648
Lowland,17_3,3,PIGL,2753,0,0
Lowland,17_3,3,PIME,2753,32,0.011623683
Lowland,17_3,3,POBA,2753,0,0
Lowland,17_3,3,POTR,2753,319,0.115873592
Lowland,17_3,3,SALIX,2753,2338,0.849255358
Lowland,18_1,1,ALCR,1716,0,0
Lowland,18_1,1,ARCTO,1716,0,0
Lowland,18_1,1,BENE,1716,110,0.064102564
Lowland,18_1,1,PIGL,1716,0,0
Lowland,18_1,1,PIME,1716,920,0.536130536
Lowland,18_1,1,POBA,1716,0,0
Lowland,18_1,1,POTR,1716,182,0.106060606
Lowland,18_1,1,SALIX,1716,504,0.293706294
Lowland,19_2,2,ALCR,2036,0,0
Lowland,19_2,2,ARCTO,2036,0,0
Lowland,19_2,2,BENE,2036,82,0.040275049
Lowland,19_2,2,PIGL,2036,0,0
Lowland,19_2,2,PIME,2036,940,0.461689587
Lowland,19_2,2,POBA,2036,0,0
Lowland,19_2,2,POTR,2036,74,0.036345776
Lowland,19_2,2,SALIX,2036,940,0.461689587
Lowland,2_3,3,ALCR,479,0,0
Lowland,2_3,3,ARCTO,479,1,0.002087683
Lowland,2_3,3,BENE,479,49,0.102296451
Lowland,2_3,3,PIGL,479,0,0
Lowland,2_3,3,PIME,479,20,0.041753653
Lowland,2_3,3,POBA,479,0,0
Lowland,2_3,3,POTR,479,244,0.509394572
Lowland,2_3,3,SALIX,479,165,0.344467641
Lowland,20_1,1,ALCR,617,0,0
Lowland,20_1,1,ARCTO,617,0,0
Lowland,20_1,1,BENE,617,0,0
Lowland,20_1,1,PIGL,617,0,0
Lowland,20_1,1,PIME,617,570,0.923824959
Lowland,20_1,1,POBA,617,0,0
Lowland,20_1,1,POTR,617,0,0
Lowland,20_1,1,SALIX,617,47,0.076175041
Lowland,22_3,3,ALCR,1627,0,0
Lowland,22_3,3,ARCTO,1627,3,0.001843884
Lowland,22_3,3,BENE,1627,139,0.085433313
Lowland,22_3,3,PIGL,1627,0,0
Lowland,22_3,3,PIME,1627,41,0.025199754
Lowland,22_3,3,POBA,1627,0,0
Lowland,22_3,3,POTR,1627,353,0.216963737
Lowland,22_3,3,SALIX,1627,1091,0.670559312
Lowland,23_3,3,ALCR,1082,0,0
Lowland,23_3,3,ARCTO,1082,1,0.000924214
Lowland,23_3,3,BENE,1082,126,0.116451017
Lowland,23_3,3,PIGL,1082,0,0
Lowland,23_3,3,PIME,1082,40,0.036968577
Lowland,23_3,3,POBA,1082,0,0
Lowland,23_3,3,POTR,1082,135,0.124768946
Lowland,23_3,3,SALIX,1082,780,0.720887246
Lowland,24_3,3,ALCR,825,0,0
Lowland,24_3,3,ARCTO,825,20,0.024242424
Lowland,24_3,3,BENE,825,124,0.15030303
Lowland,24_3,3,PIGL,825,0,0
Lowland,24_3,3,PIME,825,10,0.012121212
Lowland,24_3,3,POBA,825,0,0
Lowland,24_3,3,POTR,825,375,0.454545455
Lowland,24_3,3,SALIX,825,296,0.358787879
Lowland,25_3,3,ALCR,1626,10,0.006150062
Lowland,25_3,3,ARCTO,1626,102,0.062730627
Lowland,25_3,3,BENE,1626,11,0.006765068
Lowland,25_3,3,PIGL,1626,0,0
Lowland,25_3,3,PIME,1626,40,0.024600246
Lowland,25_3,3,POBA,1626,0,0
Lowland,25_3,3,POTR,1626,322,0.19803198
Lowland,25_3,3,SALIX,1626,1141,0.701722017
Lowland,26_2,2,ALCR,4187,59,0.014091235
Lowland,26_2,2,ARCTO,4187,71,0.016957249
Lowland,26_2,2,BENE,4187,117,0.027943635
Lowland,26_2,2,PIGL,4187,0,0
Lowland,26_2,2,PIME,4187,1241,0.296393599
Lowland,26_2,2,POBA,4187,0,0
Lowland,26_2,2,POTR,4187,291,0.069500836
