SITE,PLOT,TREAT,DIVISION,SPP,SPP_COUNT_PLOT,QUAD
DALTON,10_0,0,d,ALCR,0,1
DALTON,10_0,0,d,ARCTO,0,1
DALTON,10_0,0,d,BENE,3,1
DALTON,10_0,0,c,PIGL,0,1
DALTON,10_0,0,c,PIME,75,1
DALTON,10_0,0,d,POBA,0,1
DALTON,10_0,0,d,POTR,0,1
DALTON,10_0,0,d,SALIX,27,1
DALTON,11_0,0,d,ALCR,0,1
DALTON,11_0,0,d,ARCTO,0,1
DALTON,11_0,0,d,BENE,0,1
DALTON,11_0,0,c,PIGL,0,1
DALTON,11_0,0,c,PIME,91,1
DALTON,11_0,0,d,POBA,0,1
DALTON,11_0,0,d,POTR,0,1
DALTON,11_0,0,d,SALIX,8,1
DALTON,44_0,0,d,ALCR,0,1
DALTON,44_0,0,d,ARCTO,0,1
DALTON,44_0,0,d,BENE,0,1
DALTON,44_0,0,c,PIGL,0,1
DALTON,44_0,0,c,PIME,57,1
DALTON,44_0,0,d,POBA,0,1
DALTON,44_0,0,d,POTR,0,1
DALTON,44_0,0,d,SALIX,1,1
DALTON,58_0,0,d,ALCR,0,1
DALTON,58_0,0,d,ARCTO,0,1
DALTON,58_0,0,d,BENE,0,1
DALTON,58_0,0,c,PIGL,0,1
DALTON,58_0,0,c,PIME,47,1
DALTON,58_0,0,d,POBA,0,1
DALTON,58_0,0,d,POTR,0,1
DALTON,58_0,0,d,SALIX,8,1
DALTON,12_1,1,d,ALCR,15,1
DALTON,12_1,1,d,ARCTO,0,1
DALTON,12_1,1,d,BENE,1205,1
DALTON,12_1,1,c,PIGL,0,1
DALTON,12_1,1,c,PIME,245,1
DALTON,12_1,1,d,POBA,0,1
DALTON,12_1,1,d,POTR,0,1
DALTON,12_1,1,d,SALIX,1890,1
DALTON,41_1,1,d,ALCR,0,1
DALTON,41_1,1,d,ARCTO,0,1
DALTON,41_1,1,d,BENE,20,1
DALTON,41_1,1,c,PIGL,0,1
DALTON,41_1,1,c,PIME,2300,1
DALTON,41_1,1,d,POBA,0,1
DALTON,41_1,1,d,POTR,0,1
DALTON,41_1,1,d,SALIX,140,1
DALTON,42_1,1,d,ALCR,0,1
DALTON,42_1,1,d,ARCTO,0,1
DALTON,42_1,1,d,BENE,30,1
DALTON,42_1,1,c,PIGL,0,1
DALTON,42_1,1,c,PIME,560,1
