"SITE","SITECODE","TREAT","TYPE","DIVISION","SPP","SPP_COUNT_PLOT","COUNT_HA","LAT","LONG","SLOPE","ELEVATION","SOLAR","EXP_MIN","OL_AV","TOTAL_COUNT_PLOT","DECID_COUNT_PLOT","CONIF_COUNT_PLOT","DECID_PROP_PLOT","CONIF_PROP_PLOT","DECID_COUNT_HA","CONIF_COUNT_HA","DECID_COUNT_M","CONIF_COUNT_M"
"DALTON","10_0",0,"TREE","d","ALCR",0,0,65.71578,-149.22574,4.3130798,267.9599915,601249.8528,0,20,101,5,96,0.04950495,0.95049505,125,2400,0.0125,0.24
"DALTON","10_0",0,"TREE","d","BENE",4,100,65.71578,-149.22574,4.3130798,267.9599915,601249.8528,0,20,101,5,96,0.04950495,0.95049505,125,2400,0.0125,0.24
"DALTON","10_0",0,"TREE","c","PIME",96,2400,65.71578,-149.22574,4.3130798,267.9599915,601249.8528,0,20,101,5,96,0.04950495,0.95049505,125,2400,0.0125,0.24
"DALTON","10_0",0,"TREE","d","POTR",0,0,65.71578,-149.22574,4.3130798,267.9599915,601249.8528,0,20,101,5,96,0.04950495,0.95049505,125,2400,0.0125,0.24
"DALTON","10_0",0,"TREE","d","SALIX",1,25,65.71578,-149.22574,4.3130798,267.9599915,601249.8528,0,20,101,5,96,0.04950495,0.95049505,125,2400,0.0125,0.24
"DALTON","11_0",0,"TREE","d","ALCR",0,0,65.71918,-149.22691,3.8304601,279.3359985,602533.3492,0,17.6,98,10,88,0.102040816,0.897959184,250,2200,0.025,0.22
"DALTON","11_0",0,"TREE","d","BENE",1,25,65.71918,-149.22691,3.8304601,279.3359985,602533.3492,0,17.6,98,10,88,0.102040816,0.897959184,250,2200,0.025,0.22
"DALTON","11_0",0,"TREE","c","PIME",88,2200,65.71918,-149.22691,3.8304601,279.3359985,602533.3492,0,17.6,98,10,88,0.102040816,0.897959184,250,2200,0.025,0.22
"DALTON","11_0",0,"TREE","d","POTR",0,0,65.71918,-149.22691,3.8304601,279.3359985,602533.3492,0,17.6,98,10,88,0.102040816,0.897959184,250,2200,0.025,0.22
"DALTON","11_0",0,"TREE","d","SALIX",9,225,65.71918,-149.22691,3.8304601,279.3359985,602533.3492,0,17.6,98,10,88,0.102040816,0.897959184,250,2200,0.025,0.22
"DALTON","44_0",0,"TREE","d","ALCR",0,0,65.71369,-149.23332,5.85179,252.1470032,599354.3768,0,18.8,194,14,180,0.072164948,0.927835052,350,4500,0.035,0.45
"DALTON","44_0",0,"TREE","d","BENE",2,50,65.71369,-149.23332,5.85179,252.1470032,599354.3768,0,18.8,194,14,180,0.072164948,0.927835052,350,4500,0.035,0.45
"DALTON","44_0",0,"TREE","c","PIME",180,4500,65.71369,-149.23332,5.85179,252.1470032,599354.3768,0,18.8,194,14,180,0.072164948,0.927835052,350,4500,0.035,0.45
"DALTON","44_0",0,"TREE","d","POTR",0,0,65.71369,-149.23332,5.85179,252.1470032,599354.3768,0,18.8,194,14,180,0.072164948,0.927835052,350,4500,0.035,0.45
"DALTON","44_0",0,"TREE","d","SALIX",12,300,65.71369,-149.23332,5.85179,252.1470032,599354.3768,0,18.8,194,14,180,0.072164948,0.927835052,350,4500,0.035,0.45
"DALTON","58_0",0,"TREE","d","ALCR",0,0,65.71309,-149.2278,4.3920202,262.8670044,601044.1029,0,17,74,8,66,0.108108108,0.891891892,200,1650,0.02,0.165
"DALTON","58_0",0,"TREE","d","BENE",4,100,65.71309,-149.2278,4.3920202,262.8670044,601044.1029,0,17,74,8,66,0.108108108,0.891891892,200,1650,0.02,0.165
"DALTON","58_0",0,"TREE","c","PIME",66,1650,65.71309,-149.2278,4.3920202,262.8670044,601044.1029,0,17,74,8,66,0.108108108,0.891891892,200,1650,0.02,0.165
"DALTON","58_0",0,"TREE","d","POTR",0,0,65.71309,-149.2278,4.3920202,262.8670044,601044.1029,0,17,74,8,66,0.108108108,0.891891892,200,1650,0.02,0.165
"DALTON","58_0",0,"TREE","d","SALIX",4,100,65.71309,-149.2278,4.3920202,262.8670044,601044.1029,0,17,74,8,66,0.108108108,0.891891892,200,1650,0.02,0.165
"DALTON","12_1",1,"TREE","d","ALCR",0,0,65.7068,-149.18559,6.7337098,261.8880005,599446.6717,12.5,4.5,0,0,0,0,0,0,0,0,0
"DALTON","12_1",1,"TREE","d","BENE",0,0,65.7068,-149.18559,6.7337098,261.8880005,599446.6717,12.5,4.5,0,0,0,0,0,0,0,0,0
"DALTON","12_1",1,"TREE","c","PIME",0,0,65.7068,-149.18559,6.7337098,261.8880005,599446.6717,12.5,4.5,0,0,0,0,0,0,0,0,0
"DALTON","12_1",1,"TREE","d","POTR",0,0,65.7068,-149.18559,6.7337098,261.8880005,599446.6717,12.5,4.5,0,0,0,0,0,0,0,0,0
"DALTON","12_1",1,"TREE","d","SALIX",0,0,65.7068,-149.18559,6.7337098,261.8880005,599446.6717,12.5,4.5,0,0,0,0,0,0,0,0,0
"DALTON","41_1",1,"TREE","d","ALCR",0,0,65.70615,-149.22386,13.2546997,248.1640015,594485.5498,22.5,8.2,2,2,0,1,0,50,0,0.005,0
"DALTON","41_1",1,"TREE","d","BENE",1,25,65.70615,-149.22386,13.2546997,248.1640015,594485.5498,22.5,8.2,2,2,0,1,0,50,0,0.005,0
"DALTON","41_1",1,"TREE","c","PIME",0,0,65.70615,-149.22386,13.2546997,248.1640015,594485.5498,22.5,8.2,2,2,0,1,0,50,0,0.005,0
"DALTON","41_1",1,"TREE","d","POTR",0,0,65.70615,-149.22386,13.2546997,248.1640015,594485.5498,22.5,8.2,2,2,0,1,0,50,0,0.005,0
"DALTON","41_1",1,"TREE","d","SALIX",1,25,65.70615,-149.22386,13.2546997,248.1640015,594485.5498,22.5,8.2,2,2,0,1,0,50,0,0.005,0
"DALTON","42_1",1,"TREE","d","ALCR",1,25,65.69112,-149.11751,7.1159101,327.4930115,606715.4025,10,11.4,1,1,0,1,0,25,0,0.0025,0
"DALTON","42_1",1,"TREE","d","BENE",0,0,65.69112,-149.11751,7.1159101,327.4930115,606715.4025,10,11.4,1,1,0,1,0,25,0,0.0025,0
"DALTON","42_1",1,"TREE","c","PIME",0,0,65.69112,-149.11751,7.1159101,327.4930115,606715.4025,10,11.4,1,1,0,1,0,25,0,0.0025,0
"DALTON","42_1",1,"TREE","d","POTR",0,0,65.69112,-149.11751,7.1159101,327.4930115,606715.4025,10,11.4,1,1,0,1,0,25,0,0.0025,0
"DALTON","42_1",1,"TREE","d","SALIX",0,0,65.69112,-149.11751,7.1159101,327.4930115,606715.4025,10,11.4,1,1,0,1,0,25,0,0.0025,0
"DALTON","48_1",1,"TREE","d","ALCR",0,0,65.70551,-149.22821,3.33901,257.7170105,600634.2123,10,2.8,7,7,0,1,0,175,0,0.0175,0
"DALTON","48_1",1,"TREE","d","BENE",5,125,65.70551,-149.22821,3.33901,257.7170105,600634.2123,10,2.8,7,7,0,1,0,175,0,0.0175,0
"DALTON","48_1",1,"TREE","c","PIME",0,0,65.70551,-149.22821,3.33901,257.7170105,600634.2123,10,2.8,7,7,0,1,0,175,0,0.0175,0
"DALTON","48_1",1,"TREE","d","POTR",0,0,65.70551,-149.22821,3.33901,257.7170105,600634.2123,10,2.8,7,7,0,1,0,175,0,0.0175,0
"DALTON","48_1",1,"TREE","d","SALIX",2,50,65.70551,-149.22821,3.33901,257.7170105,600634.2123,10,2.8,7,7,0,1,0,175,0,0.0175,0
"DALTON","50_1",1,"TREE","d","ALCR",0,0,65.70692,-149.18695,5.6178198,257.9140015,599456.8481,0,4,0,0,0,NA,NA,0,0,0,0
"DALTON","50_1",1,"TREE","d","BENE",0,0,65.70692,-149.18695,5.6178198,257.9140015,599456.8481,0,4,0,0,0,NA,NA,0,0,0,0
"DALTON","50_1",1,"TREE","c","PIME",0,0,65.70692,-149.18695,5.6178198,257.9140015,599456.8481,0,4,0,0,0,NA,NA,0,0,0,0
"DALTON","50_1",1,"TREE","d","POTR",0,0,65.70692,-149.18695,5.6178198,257.9140015,599456.8481,0,4,0,0,0,NA,NA,0,0,0,0
"DALTON","50_1",1,"TREE","d","SALIX",0,0,65.70692,-149.18695,5.6178198,257.9140015,599456.8481,0,4,0,0,0,NA,NA,0,0,0,0
"DALTON","52_1",1,"TREE","d","ALCR",2,50,65.69073,-149.1245,5.24822,347.9249878,609798.2024,5,6.8,2,2,0,1,0,50,0,0.005,0
"DALTON","52_1",1,"TREE","d","BENE",0,0,65.69073,-149.1245,5.24822,347.9249878,609798.2024,5,6.8,2,2,0,1,0,50,0,0.005,0
"DALTON","52_1",1,"TREE","c","PIME",0,0,65.69073,-149.1245,5.24822,347.9249878,609798.2024,5,6.8,2,2,0,1,0,50,0,0.005,0
"DALTON","52_1",1,"TREE","d","POTR",0,0,65.69073,-149.1245,5.24822,347.9249878,609798.2024,5,6.8,2,2,0,1,0,50,0,0.005,0
"DALTON","52_1",1,"TREE","d","SALIX",0,0,65.69073,-149.1245,5.24822,347.9249878,609798.2024,5,6.8,2,2,0,1,0,50,0,0.005,0
