SITE,SITECODE,TREAT,TYPE,DIVISION,SPP,SPP_COUNT_PLOT,BASAL_PLOT,COUNT_HA,BASAL_HA,LAT,LONG,SLOPE,ELEVATION,SOLAR,EXP_MIN,OL_AV,TOTAL_COUNT_PLOT,DECID_COUNT_PLOT,CONIF_COUNT_PLOT,DECID_PROP_PLOT,CONIF_PROP_PLOT,DECID_COUNT_HA,CONIF_COUNT_HA,DECID_BASAL_HA,CONIF_BASAL_HA
DALTON,10_0,0,SAPLING,d,ALCR,0,0,0,0,65.71578,-149.22574,4.3130798,267.9599915,601249.8528,0,20,107,6,101,0.056074766,0.943925234,150,2525,125.38746,944.267382
DALTON,10_0,0,SAPLING,d,BENE,5,4.95245016,125,123.811254,65.71578,-149.22574,4.3130798,267.9599915,601249.8528,0,20,107,6,101,0.056074766,0.943925234,150,2525,125.38746,944.267382
DALTON,10_0,0,SAPLING,c,PIME,101,37.77069528,2525,944.267382,65.71578,-149.22574,4.3130798,267.9599915,601249.8528,0,20,107,6,101,0.056074766,0.943925234,150,2525,125.38746,944.267382
DALTON,10_0,0,SAPLING,d,POTR,0,0,0,0,65.71578,-149.22574,4.3130798,267.9599915,601249.8528,0,20,107,6,101,0.056074766,0.943925234,150,2525,125.38746,944.267382
DALTON,10_0,0,SAPLING,d,SALIX,1,0.06304824,25,1.576206,65.71578,-149.22574,4.3130798,267.9599915,601249.8528,0,20,107,6,101,0.056074766,0.943925234,150,2525,125.38746,944.267382
DALTON,11_0,0,SAPLING,d,ALCR,0,0,0,0,65.71918,-149.22691,3.8304601,279.3359985,602533.3492,0,17.6,38,3,35,0.078947368,0.921052632,75,875,4.112316,150.625845
DALTON,11_0,0,SAPLING,d,BENE,0,0,0,0,65.71918,-149.22691,3.8304601,279.3359985,602533.3492,0,17.6,38,3,35,0.078947368,0.921052632,75,875,4.112316,150.625845
DALTON,11_0,0,SAPLING,c,PIME,35,6.0250338,875,150.625845,65.71918,-149.22691,3.8304601,279.3359985,602533.3492,0,17.6,38,3,35,0.078947368,0.921052632,75,875,4.112316,150.625845
DALTON,11_0,0,SAPLING,d,POTR,0,0,0,0,65.71918,-149.22691,3.8304601,279.3359985,602533.3492,0,17.6,38,3,35,0.078947368,0.921052632,75,875,4.112316,150.625845
DALTON,11_0,0,SAPLING,d,SALIX,3,0.16449264,75,4.112316,65.71918,-149.22691,3.8304601,279.3359985,602533.3492,0,17.6,38,3,35,0.078947368,0.921052632,75,875,4.112316,150.625845
DALTON,44_0,0,SAPLING,d,ALCR,0,0,0,0,65.71369,-149.23332,5.85179,252.1470032,599354.3768,0,18.8,206,14,192,0.067961165,0.932038835,350,4800,75.998763,1078.978455
DALTON,44_0,0,SAPLING,d,BENE,2,1.34397468,50,33.599367,65.71369,-149.23332,5.85179,252.1470032,599354.3768,0,18.8,206,14,192,0.067961165,0.932038835,350,4800,75.998763,1078.978455
DALTON,44_0,0,SAPLING,c,PIME,192,43.1591382,4800,1078.978455,65.71369,-149.23332,5.85179,252.1470032,599354.3768,0,18.8,206,14,192,0.067961165,0.932038835,350,4800,75.998763,1078.978455
DALTON,44_0,0,SAPLING,d,POTR,0,0,0,0,65.71369,-149.23332,5.85179,252.1470032,599354.3768,0,18.8,206,14,192,0.067961165,0.932038835,350,4800,75.998763,1078.978455
DALTON,44_0,0,SAPLING,d,SALIX,12,1.69597584,300,42.399396,65.71369,-149.23332,5.85179,252.1470032,599354.3768,0,18.8,206,14,192,0.067961165,0.932038835,350,4800,75.998763,1078.978455
DALTON,58_0,0,SAPLING,d,ALCR,0,0,0,0,65.71309,-149.2278,4.3920202,262.8670044,601044.1029,0,17,21,3,18,0.142857143,0.857142857,75,450,68.9071995,445.80996
DALTON,58_0,0,SAPLING,d,BENE,2,2.64088134,50,66.0220335,65.71309,-149.2278,4.3920202,262.8670044,601044.1029,0,17,21,3,18,0.142857143,0.857142857,75,450,68.9071995,445.80996
DALTON,58_0,0,SAPLING,c,PIME,18,17.8323984,450,445.80996,65.71309,-149.2278,4.3920202,262.8670044,601044.1029,0,17,21,3,18,0.142857143,0.857142857,75,450,68.9071995,445.80996
DALTON,58_0,0,SAPLING,d,POTR,0,0,0,0,65.71309,-149.2278,4.3920202,262.8670044,601044.1029,0,17,21,3,18,0.142857143,0.857142857,75,450,68.9071995,445.80996
DALTON,58_0,0,SAPLING,d,SALIX,1,0.11540664,25,2.885166,65.71309,-149.2278,4.3920202,262.8670044,601044.1029,0,17,21,3,18,0.142857143,0.857142857,75,450,68.9071995,445.80996
DALTON,12_1,1,SAPLING,d,ALCR,0,0,0,0,65.7068,-149.18559,6.7337098,261.8880005,599446.6717,12.5,4.5,40,40,0,1,0,1000,0,1.22715,0
DALTON,12_1,1,SAPLING,d,BENE,20,0.0392688,500,0.98172,65.7068,-149.18559,6.7337098,261.8880005,599446.6717,12.5,4.5,40,40,0,1,0,1000,0,1.22715,0
DALTON,12_1,1,SAPLING,c,PIME,0,0,0,0,65.7068,-149.18559,6.7337098,261.8880005,599446.6717,12.5,4.5,40,40,0,1,0,1000,0,1.22715,0
