"SITE","TREAT","PLOT","DIV","SPP","COUNT","COUNT_HA"
"DALTON",0,"10_0","c","PIGL",0,0
"DALTON",0,"10_0","c","PIME",262,13100
"DALTON",0,"10_0","d","ALCR",0,0
"DALTON",0,"10_0","d","ARCTO",0,0
"DALTON",0,"10_0","d","BENE",11,550
"DALTON",0,"10_0","d","POBA",0,0
"DALTON",0,"10_0","d","POTR",0,0
"DALTON",0,"10_0","d","SALIX",55,2750
"DALTON",0,"11_0","c","PIGL",0,0
"DALTON",0,"11_0","c","PIME",299,14950
"DALTON",0,"11_0","d","ALCR",0,0
"DALTON",0,"11_0","d","ARCTO",0,0
"DALTON",0,"11_0","d","BENE",1,50
"DALTON",0,"11_0","d","POBA",0,0
"DALTON",0,"11_0","d","POTR",0,0
"DALTON",0,"11_0","d","SALIX",36,1800
"DALTON",0,"44_0","c","PIGL",0,0
"DALTON",0,"44_0","c","PIME",344,17200
"DALTON",0,"44_0","d","ALCR",0,0
"DALTON",0,"44_0","d","ARCTO",0,0
"DALTON",0,"44_0","d","BENE",2,100
"DALTON",0,"44_0","d","POBA",0,0
"DALTON",0,"44_0","d","POTR",0,0
"DALTON",0,"44_0","d","SALIX",14,700
"DALTON",0,"58_0","c","PIGL",0,0
"DALTON",0,"58_0","c","PIME",164,8200
"DALTON",0,"58_0","d","ALCR",0,0
"DALTON",0,"58_0","d","ARCTO",0,0
"DALTON",0,"58_0","d","BENE",4,200
"DALTON",0,"58_0","d","POBA",0,0
"DALTON",0,"58_0","d","POTR",0,0
"DALTON",0,"58_0","d","SALIX",25,1250
"DALTON",1,"12_1","c","PIGL",0,0
"DALTON",1,"12_1","c","PIME",490,24500
"DALTON",1,"12_1","d","ALCR",70,3500
"DALTON",1,"12_1","d","ARCTO",0,0
"DALTON",1,"12_1","d","BENE",2830,141500
"DALTON",1,"12_1","d","POBA",0,0
"DALTON",1,"12_1","d","POTR",0,0
"DALTON",1,"12_1","d","SALIX",3900,195000
"DALTON",1,"28_1","d","BENE",16,800
"DALTON",1,"28_1","d","SALIX",6,300
"DALTON",1,"41_1","c","PIGL",0,0
"DALTON",1,"41_1","c","PIME",4600,230000
"DALTON",1,"41_1","d","ALCR",0,0
"DALTON",1,"41_1","d","ARCTO",0,0
"DALTON",1,"41_1","d","BENE",48,2400
"DALTON",1,"41_1","d","POBA",0,0
